"Blocking Key Value","Frequency"
"STCOPC","11"
"HA2PC2,GRMAPC","10"
"ROLEPC","9"
"WOREPC,BAPAPC,BODEPC,PO2PC2,BLBOPC","6"
"ELLEPC,PA2PC2,SI2PC2,R.PC","5"
"TROFWAPC,ALEGPC,PRCAPC,INWOPC,DUDEPC,GODEPC,FAFRPC,SI3PC3,DAIIPCII,WOOFGOPC,LOHOPC,BAHAPC,BO2PC2","4"
"CIINMOPC,SA3PC3,BOTHPRPC,TORAPC,HEOFIRIVPCIV,SIMECIVPCV,GRAUPC,MO&BLWAPC,XC2PC2,OIRUPC,ALISPC,X3TECOPC,ED&HAHANEEYPC,DEEXMADIPC,SESA3:BFPC,BAWOKRPC,BIINPC,SPOPTHLIPC,SUCOPC,TOWAWAPC,DESPPC,DYLIPC,BOOFUNTATHCRCHPC,SIMECIBEEAPC,COSOPC,COOFHE2PC2,CISKPC,STKIPC,EUTRSI2PC2,MACOPC,CLEMPC,PIOFETPC,OVIIPCII,XCENUNPC,GRAGMEPC,BA2PC2,STTRPC,FITEPC,WA40DAOFWAIIPCII,RIOFTHTORAPC,LE4DE2PC2,XREPC,LOJOPC,DEEXPC,TOWAATPC,TR3PC3,WAFOTHOVPC,BOOFUNTAPC,NENIPC,TR5PC5,DIRAPC,RAONPC","3"
"CAOFDUMOWA2PC2,NADRALINASPC,SARO2PC2,MAEFPC,INPRPC,CAOFDU2PC2,SIMECIIVPCIV,HEOFIRIIPCIII,BUSI16PC16,EUTRSIPC,SYIIPCII,PENIPC,TR2PC2,EVONPC,LE4DEPC,WA2PC2,LAREPC,MEOFHOPC,BEBLPC,BUXCDEPC,NEBITHPC,WADOPC,SOOFTHDEPC,KIBOARPRPC,RITHSETOMYPC,MYIVREPC,F120PC2015,CRWAPC,FASI20PC2011,SAGOPC,WOOFZOPC,EUUNIICOPC,BIOFISPC,CAOFDU4:MOWAPC,REMEPC,MAIIPCII,HIABPC,DI2PC2,DUNUFOPC,SHISPC,HORECOPC,TR4PC4,SAROIVPCIV,ALPRPC,BE3PC3,NEFOSPUNPC,LEMASUHEPC,LEJUWOPC,MINIPC,ELSCONPC,DISIPC,TRGIPC,NIOFTHRAPC,WOOFWAPC,GR2PC2,SIMERAPC,SAROTHTHPC,TRREPC,MAPAPC","2"
"GRTHAUIIPCIII,DERI2PC2,STWATHFOUNIIPCII,LOPL2PC2,TAONHEPC,MEOFWAASSQPC,SOPATHSTOFTRPC,SPGAADPC,COOFHETAOFVAPC,MYCAFIRAPC,FLULCAPC,DRAGOR-ULEDPC,CO&CO3:TIWAPC,TRTUPC,SEFITUPC,STFIIVPCIV,SNGHWA2PC2,IMCRPC,LEBA3:BEGOPC,TOCLTHDIPC,EVWIPC,ROTYWOPC,PROFPETHFOSAPC,DESP2PC2,RAORPC,TORALEPC,ELSCV:SKPC,TOCLGHREFUSOPC,DERI2:OFTHREPC,FANEVEPC,FAANPC,GHPIOFVOISPC,DU-THDALOPC,COOFHEPC,BAMIPC,CAMOANTHGOTUPC,HOGI2PC2,LOCHOFZEPC,NEFOSPHOPUPC,S.CLSKPC,BABACO2PC2,COPAPHTWPC,RIRAUNPC,ASCRSYPC,ASCRIVBLFLPC,LOPL3PC3,SNGHWAPC,MEGESOV:THPHPAPC,GTLEPC,DCUNONPC,FACRPC,CAOFDUGHPC,TOCLRASISIPC,FACR3PC3,STFIXTEPC,AGOFEMIICOCOPC,F.3PC3,ASCRPC,BRINARHEHIPC,MOKOXPCX,MO&BLPC,TOCLSPCEBLPC,CAOFDUBLOPPC,FAFR3PC3,FRMIEVPC,TRFUPC,OPFLDRRIPC,MEOFHOAIPC,GRTHAUVICIPC,SIOFASOEMTRPC,LEPIOFTHCATHVIGAPC,POMOPC,SURUCOWAPC,STTRONPC,FACR4PC4,WA40SPMAPC,HUTHDEFOPC,VAROTHGAPC,MAPA3PC3,OROFWAPC,SUCO2PC2,JUCA2PC2,ASCRROPC,F.2:PRORPC,GRTHAUIVPCIV,DIIIREPC,F120PC2014,F120PC2011,PORO2PC2,TORAIIPCII,JAKEPC,DAVOPC,RUWOCU20PC2015,JUCA3PC3,LOOFTHFAPC,STFIVPCV,RULETEMA20PC2015,RASIPC,SEFI2:PUCOPC,COEUWAPC,BAARKNPC,KA&LY2:DODAPC,GAOFTHPC,MEOFWAPC,IMGLPC,GRTHAUVPCV,LACRANTHTEOFOSPC,CUCRPC,PRCYMA20PC2016,GRTHAUSAANPC,MIEDPC,GO3PC3,ALINTHDAPC,RATY3PC3,CO&COREAL3PC3,TOCLRASIVE2PC2,LEBATHVIPC,SUATPC,CAIVPCIV,MEOFWAVIPC,LEHAPOYE5-PC5-7,MUSOSUPC,HIBLMOPC,S.CAOFPRPC,HOTYPC,AVASTPC,CO&CO4:TITWPC,18WHOFSTEXTR2PC2,BLCATRPC,RARARAPC,LEINJOTHORADPC,BL2ANPC,MAPA2:THFAOFMAPAPC,ALVSPRPC,SIHUIIPCIII,SUCOFOALPC,DRAGORAWPC,REEVOPRACIPC,DUREPC,CAOFJUPC,DUSIIIPCII,REFAARPC,WOTHNEORPC,EAINCOPC,SIHUWOOFTHPAPC,WOTHOLBLPC,DO3PC3,HEFIAFPC,DASOIIPCIII,TORAUNPC,ASCRUNPC,BAARASPC,WI3:WIHUPC,S.SHOFCHPC,GOUNPC,ASCRREPC,BETWPC,FATRPC,RI2:DAWAPC,ROTY2:TRTHPAPC,WOULMAPC,LEINJO2:THADCOPC,WIPA3PC3,JUCAPC,CR2PC2,APREPC,DECOGOEDPC,F1RASTPC,STLI2PC2,EVGEPC,AICOSEWAPC,BAARORPC,STWARECOPC,LEHAPOYE1-PC1-4,ILST19PC1946,HO2PC2,SNAROFVIPC,HAHEREPC,COOFHEOPFRPC,TOCLENPC,CAOFJUBOINBLPC,SP3PC3,NEFOSPSHPC,STWAEMATWA-GOPAPC,DASOIIPCII,OFDRPC,FACRPRPC,ASCRBRPC,KIOFAMREPC,SATEANNIPC,DEMACR4PC4,DAONPC,FA3PC3,15DAPC,TEOFSHHOPC,BUSCEDPC,DRAGORPC,MAEF2PC2,TORAANPC,FA4PC4,CAOFDUWOATWAPC,CO3:DEBEPC,KNOFHOPC,FRFUOFWAPC,AITY2PC2,SIDEPC,LEOFKADEPC,RIOFTHARPC,HOTHREPC,BUPATHULBOPC,SHSIEXPC,ALWAPC,CALOOFSH2PC2,SNELPC,COCOOFTHAMPC,CODEOPPC,CO&CO3:KAWRPC,RUATWOFFAPC,MI&MAHEVIPCVII,CAOFDUBLOPIIPCII,HELOPC","1"
"SIPC","180"
