"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] TitleComparator record1Value","[0] TitleComparator record2Value","[0] TitleComparator record1PreprocessedValue","[0] TitleComparator record2PreprocessedValue","[0] TitleComparator similarity","[0] TitleComparator postproccesedSimilarity","[1] PlatformComparatorAdvanced record1Value","[1] PlatformComparatorAdvanced record2Value","[1] PlatformComparatorAdvanced record1PreprocessedValue","[1] PlatformComparatorAdvanced record2PreprocessedValue","[1] PlatformComparatorAdvanced similarity","[1] PlatformComparatorAdvanced postproccesedSimilarity","[2] PublisherComparator record1Value","[2] PublisherComparator record2Value","[2] PublisherComparator record1PreprocessedValue","[2] PublisherComparator record2PreprocessedValue","[2] PublisherComparator similarity","[2] PublisherComparator postproccesedSimilarity","[3] PubDateComparator record1Value","[3] PubDateComparator record2Value","[3] PubDateComparator record1PreprocessedValue","[3] PubDateComparator record2PreprocessedValue","[3] PubDateComparator similarity","[3] PubDateComparator postproccesedSimilarity"
"LinearCombinationMatchingRule","steam_games_19584","vg_sales_10175","0.2387345679012346",,"Masky","Machinarium","Masky","Machinarium","0.0","0.0","mac","PC","mac","PC","1.0","1.0","Forever Entertainment S. A.","Daedalic","Forever Entertainment S. A.","Daedalic","0.3873456790123457","0.3873456790123457","2016-01-01T00:00","2009-01-01T00:00","2016-01-01T00:00","2009-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_27486","vg_sales_8747","0.2525",,"Depopulation","Deponia","Depopulation","Deponia","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Aweswan studios","Daedalic","Aweswan studios","Daedalic","0.525","0.525","2017-01-01T00:00","2012-01-01T00:00","2017-01-01T00:00","2012-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_31840","vg_sales_14147","0.2575",,"Protolife","Prey","Protolife","Prey","0.0","0.0","mac","PC","mac","PC","1.0","1.0","Volcanic Giraffe","Take-Two Interactive","Volcanic Giraffe","Take-Two Interactive","0.5750000000000001","0.5750000000000001","2018-01-01T00:00","2006-01-01T00:00","2018-01-01T00:00","2006-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_19608","vg_sales_8747","0.24935897435897436",,"Detention","Deponia","Detention","Deponia","0.0","0.0","linux","PC","linux","PC","1.0","1.0","RedCandleGames;AGM PLAYISM","Daedalic","RedCandleGames;AGM PLAYISM","Daedalic","0.4935897435897436","0.4935897435897436","2017-01-01T00:00","2012-01-01T00:00","2017-01-01T00:00","2012-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_12871","vg_sales_7485","0.24312865497076025",,"Defragmented","Defiance","Defragmented","Defiance","0.0","0.0","linux","PC","linux","PC","1.0","1.0","Glass Knuckle Games","Trion Worlds","Glass Knuckle Games","Trion Worlds","0.43128654970760233","0.43128654970760233","2016-01-01T00:00","2013-01-01T00:00","2016-01-01T00:00","2013-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_24250","vg_sales_13407","0.24333333333333335",,"Wonfourn","Wolfenstein","Wonfourn","Wolfenstein","0.0","0.0","windows","PC","windows","PC","1.0","1.0","EnsenaSoft","Activision","EnsenaSoft","Activision","0.43333333333333335","0.43333333333333335","2018-01-01T00:00","2009-01-01T00:00","2018-01-01T00:00","2009-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_21293","vg_sales_7485","0.24444444444444446",,"Deliverace","Defiance","Deliverace","Defiance","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Skyjaz Games","Trion Worlds","Skyjaz Games","Trion Worlds","0.4444444444444444","0.4444444444444444","2018-01-01T00:00","2013-01-01T00:00","2018-01-01T00:00","2013-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_26533","vg_sales_3458","0.2512698412698413",,"Timension","Titanfall","Timension","Titanfall","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Team Full Sail","Electronic Arts","Team Full Sail","Electronic Arts","0.5126984126984127","0.5126984126984127","2017-01-01T00:00","2014-01-01T00:00","2017-01-01T00:00","2014-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_19283","vg_sales_15572","0.2",,"Wondee","WorldShift","Wondee","WorldShift","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Garret Polk","Playlogic Game Factory","Garret Polk","Playlogic Game Factory","0.0","0.0","2016-01-01T00:00","2009-01-01T00:00","2016-01-01T00:00","2009-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_6990","vg_sales_13834","0.25028571428571433",,"Moonchild","The Movies","Moonchild","The Movies","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Aldorlea Games","Activision","Aldorlea Games","Activision","0.5028571428571429","0.5028571428571429","2016-01-01T00:00","2005-01-01T00:00","2016-01-01T00:00","2005-01-01T00:00","0.0","0.0"
