"Blocking Key Value","Frequency"
"HA2PC2,GRMAPC","10"
"ROLEPC","9"
"WOREPC,BAPAPC,BODEPC,PO2PC2","6"
"ELLEPC,PA2PC2,THMOPC,BLBOPC,THSAPC,R.PC","5"
"ALEGPC,PRCAPC,DUDEPC,GODEPC,THWIPC,WOOFGOPC,LOHOPC,BAHAPC,BO2PC2","4"
"CIINMOPC,SA3PC3,BOTHPRPC,TORAPC,HEOFIRIVPCIV,SIMECIVPCV,GRAUPC,THHOPC,MO&BLWAPC,XC2PC2,OIRUPC,ALISPC,X3TECOPC,ED&HAHANEEYPC,DEEXMADIPC,SESA3:BFPC,BAWOKRPC,BIINPC,SPOPTHLIPC,SUCOPC,TOWAWAPC,DESPPC,DYLIPC,SIMECIBEEAPC,COSOPC,COOFHE2PC2,CISKPC,STKIPC,EUTRSI2PC2,MACOPC,CLEMPC,PIOFETPC,OVIIPCII,XCENUNPC,GRAGMEPC,BA2PC2,STTRPC,WA40DAOFWAIIPCII,RIOFTHTORAPC,THBOOFUNTATHCRCHPC,LE4DE2PC2,XREPC,DEEXPC,THINWOPC,TOWAATPC,TR3PC3,WAFOTHOVPC,NENIPC,TR5PC5,THBOOFUNTAPC,DIRAPC,RAONPC,THTEPC","3"
"CAOFDUMOWA2PC2,NADRALINASPC,SARO2PC2,MAEFPC,INPRPC,CAOFDU2PC2,SIMECIIVPCIV,HEOFIRIIPCIII,BUSI16PC16,EUTRSIPC,SYIIPCII,PENIPC,TR2PC2,EVONPC,LE4DEPC,WA2PC2,THNIOFTHRAPC,MEOFHOPC,THELSCONPC,BEBLPC,WADOPC,SOOFTHDEPC,KIBOARPRPC,RITHSETOMYPC,MYIVREPC,F120PC2015,CRWAPC,FASI20PC2011,SAGOPC,WOOFZOPC,EUUNIICOPC,CAOFDU4:MOWAPC,THBIOFISPC,REMEPC,THDAIIPCII,MAIIPCII,HIABPC,DI2PC2,DUNUFOPC,HORECOPC,TR4PC4,SAROIVPCIV,ALPRPC,THBUXCDEPC,BE3PC3,NEFOSPUNPC,LEMASUHEPC,LEJUWOPC,MINIPC,DISIPC,THCRPC,WOOFWAPC,GR2PC2,THNEBITHPC,SIMERAPC,SAROTHTHPC,TRREPC,MAPAPC","2"
"GRTHAUIIPCIII,DERI2PC2,STWATHFOUNIIPCII,LOPL2PC2,TAONHEPC,MEOFWAASSQPC,SOPATHSTOFTRPC,SPGAADPC,COOFHETAOFVAPC,MYCAFIRAPC,FLULCAPC,DRAGOR-ULEDPC,CO&CO3:TIWAPC,TRTUPC,SEFITUPC,STFIIVPCIV,SNGHWA2PC2,IMCRPC,LEBA3:BEGOPC,TOCLTHDIPC,ROTYWOPC,PROFPETHFOSAPC,DESP2PC2,RAORPC,TORALEPC,TOCLGHREFUSOPC,DERI2:OFTHREPC,THSIPC,FANEVEPC,FAANPC,GHPIOFVOISPC,DU-THDALOPC,COOFHEPC,BAMIPC,CAMOANTHGOTUPC,HOGI2PC2,NEFOSPHOPUPC,S.CLSKPC,BABACO2PC2,COPAPHTWPC,RIRAUNPC,ASCRSYPC,ASCRIVBLFLPC,LOPL3PC3,SNGHWAPC,MEGESOV:THPHPAPC,GTLEPC,DCUNONPC,FACRPC,CAOFDUGHPC,TOCLRASISIPC,FACR3PC3,STFIXTEPC,AGOFEMIICOCOPC,F.3PC3,ASCRPC,BRINARHEHIPC,THEVWIPC,MOKOXPCX,MO&BLPC,TOCLSPCEBLPC,CAOFDUBLOPPC,FAFR3PC3,FRMIEVPC,TRFUPC,OPFLDRRIPC,MEOFHOAIPC,GRTHAUVICIPC,SIOFASOEMTRPC,LEPIOFTHCATHVIGAPC,POMOPC,SURUCOWAPC,STTRONPC,THWI3:WIHUPC,FACR4PC4,WA40SPMAPC,HUTHDEFOPC,VAROTHGAPC,MAPA3PC3,OROFWAPC,SUCO2PC2,JUCA2PC2,ASCRROPC,F.2:PRORPC,GRTHAUIVPCIV,DIIIREPC,F120PC2014,F120PC2011,THOFWAPC,THLOJOPC,PORO2PC2,FAFRPC,TORAIIPCII,JAKEPC,DAVOPC,RUWOCU20PC2015,JUCA3PC3,LOOFTHFAPC,STFIVPCV,THSI3PC3,RULETEMA20PC2015,RASIPC,SEFI2:PUCOPC,COEUWAPC,BAARKNPC,KA&LY2:DODAPC,GAOFTHPC,MEOFWAPC,IMGLPC,GRTHAUVPCV,LACRANTHTEOFOSPC,PRCYMA20PC2016,GRTHAUSAANPC,MIEDPC,GO3PC3,ALINTHDAPC,RATY3PC3,CO&COREAL3PC3,TOCLRASIVE2PC2,LEBATHVIPC,SUATPC,CAIVPCIV,MEOFWAVIPC,LEHAPOYE5-PC5-7,MUSOSUPC,HIBLMOPC,S.CAOFPRPC,HOTYPC,AVASTPC,CO&CO4:TITWPC,18WHOFSTEXTR2PC2,BLCATRPC,RARARAPC,LEINJOTHORADPC,BL2ANPC,MAPA2:THFAOFMAPAPC,ALVSPRPC,SIHUIIPCIII,SUCOFOALPC,DRAGORAWPC,REEVOPRACIPC,DUREPC,CAOFJUPC,DUSIIIPCII,REFAARPC,WOTHNEORPC,EAINCOPC,SIHUWOOFTHPAPC,WOTHOLBLPC,DO3PC3,HEFIAFPC,DASOIIPCIII,TORAUNPC,ASCRUNPC,BAARASPC,S.SHOFCHPC,GOUNPC,ASCRREPC,BETWPC,FATRPC,RI2:DAWAPC,ROTY2:TRTHPAPC,WOULMAPC,LEINJO2:THADCOPC,WIPA3PC3,JUCAPC,THELSCV:SKPC,APREPC,DECOGOEDPC,F1RASTPC,STLI2PC2,EVGEPC,AICOSEWAPC,BAARORPC,STWARECOPC,LEHAPOYE1-PC1-4,ILST19PC1946,HO2PC2,SNAROFVIPC,COOFHEOPFRPC,TOCLENPC,CAOFJUBOINBLPC,SP3PC3,NEFOSPSHPC,STWAEMATWA-GOPAPC,DASOIIPCII,OFDRPC,THHAHEREPC,THVOPC,FACRPRPC,ASCRBRPC,KIOFAMREPC,SATEANNIPC,DEMACR4PC4,DAONPC,FA3PC3,15DAPC,BUSCEDPC,DRAGORPC,MAEF2PC2,TORAANPC,FA4PC4,CAOFDUWOATWAPC,CO3:DEBEPC,KNOFHOPC,FRFUOFWAPC,AITY2PC2,LEOFKADEPC,HOTHREPC,BUPATHULBOPC,SHSIEXPC,ALWAPC,THTEOFSHHOPC,CALOOFSH2PC2,SNELPC,COCOOFTHAMPC,CODEOPPC,CO&CO3:KAWRPC,RUATWOFFAPC,MI&MAHEVIPCVII,CAOFDUBLOPIIPCII,HELOPC","1"
"BAPC","150"
"TEPC","128"
