"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlatformComparatorAdvanced record1Value","[0] PlatformComparatorAdvanced record2Value","[0] PlatformComparatorAdvanced record1PreprocessedValue","[0] PlatformComparatorAdvanced record2PreprocessedValue","[0] PlatformComparatorAdvanced similarity","[0] PlatformComparatorAdvanced postproccesedSimilarity","[1] TitleComparator record1Value","[1] TitleComparator record2Value","[1] TitleComparator record1PreprocessedValue","[1] TitleComparator record2PreprocessedValue","[1] TitleComparator similarity","[1] TitleComparator postproccesedSimilarity","[2] DeveloperComparator record1Value","[2] DeveloperComparator record2Value","[2] DeveloperComparator record1PreprocessedValue","[2] DeveloperComparator record2PreprocessedValue","[2] DeveloperComparator similarity","[2] DeveloperComparator postproccesedSimilarity","[3] PubDateComparator record1Value","[3] PubDateComparator record2Value","[3] PubDateComparator record1PreprocessedValue","[3] PubDateComparator record2PreprocessedValue","[3] PubDateComparator similarity","[3] PubDateComparator postproccesedSimilarity"
"WekaMatchingRule","steam_games_72","wikidata_338",,"0","windows","Xbox 360","windows","Xbox 360","0.0","0.0","Alien Swarm","Lego Star Wars : La Saga complète","Alien Swarm","Lego Star Wars : La Saga complète","0.0","0.0","Valve","Feral Interactive","Valve","Feral Interactive","0.23529411764705888","0.23529411764705888","2010-01-01T00:00","2009-01-01T00:00","2010-01-01T00:00","2009-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_21293","wikidata_21261","0.01060130058076173",,"windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Deliverace","Defenders","Deliverace","Defenders","0.0","0.0","Skyjaz Games",,"Skyjaz Games",,"0.0","0.0","2018-01-01T00:00","2013-01-01T00:00","2018-01-01T00:00","2013-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_35029","wikidata_851",,"0","linux","Commodore Amiga","linux","Commodore Amiga","0.0","0.0","Let's Go There And Wander Nowhere","Chase H.Q.","Let's Go There And Wander Nowhere","Chase H.Q.","0.0","0.0","Polychroma Games","Taito Corporation","Polychroma Games","Taito Corporation","0.11764705882352944","0.11764705882352944","2018-01-01T00:00","1988-01-01T00:00","2018-01-01T00:00","1988-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_27604","wikidata_5519","0.01060130058076173",,"windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Colony","Colonization","Colony","Colonization","0.0","0.0","eugeniy_kh","MicroProse","eugeniy_kh","MicroProse","0.0","0.0","2017-01-01T00:00","1994-01-01T00:00","2017-01-01T00:00","1994-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_35775","wikidata_11871","0.01060130058076173",,"windows","Linux","windows","Linux","1.0","1.0","MilMo","Minesweeper","MilMo","Minesweeper","0.0","0.0","Dohi Sweden AB",,"Dohi Sweden AB",,"0.0","0.0","2018-01-01T00:00","1989-01-01T00:00","2018-01-01T00:00","1989-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_39506","wikidata_20695","0.013428744153022166",,"windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Spacelair","Spore","Spacelair","Spore","0.0","0.0","Espen-André Bodin","Maxis","Espen-André Bodin","Maxis","0.11764705882352944","0.11764705882352944","2019-01-01T00:00","2008-01-01T00:00","2019-01-01T00:00","2008-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_23020","wikidata_1571",,"0","linux","Game Boy Advance","linux","Game Boy Advance","0.0","0.0","Football Manager 2018","Pokémon Verde Foglia","Football Manager 2018","Pokémon Verde Foglia","0.0","0.0","Sports Interactive","Game Freak","Sports Interactive","Game Freak","0.16666666666666663","0.16666666666666663","2017-01-01T00:00","2004-01-01T00:00","2017-01-01T00:00","2004-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_4591","wikidata_22775",,"1","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","F1 2015","F1 2015 (Jeux Vidéo)","F1 2015","F1 2015 (Jeux Vidéo)","0.6","0.6","Codemasters;Feral Interactive (Linux)","Codemasters","Codemasters;Feral Interactive (Linux)","Codemasters","0.29729729729729726","0.29729729729729726","2015-01-01T00:00","2015-01-01T00:00","2015-01-01T00:00","2015-01-01T00:00","1.0","1.0"
"WekaMatchingRule","steam_games_39506","wikidata_20694","0.013428744153022166",,"windows","macOS","windows","macOS","1.0","1.0","Spacelair","Spore","Spacelair","Spore","0.0","0.0","Espen-André Bodin","Maxis","Espen-André Bodin","Maxis","0.11764705882352944","0.11764705882352944","2019-01-01T00:00","2008-01-01T00:00","2019-01-01T00:00","2008-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_6463","wikidata_22486","0.012727005030853665",,"windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Crow","CRYSIS","Crow","CRYSIS","0.0","0.0","Sunside Inc","Crytek","Sunside Inc","Crytek","0.09090909090909094","0.09090909090909094","2014-01-01T00:00","2007-01-01T00:00","2014-01-01T00:00","2007-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_30018","wikidata_30511",,"0","windows","PlayStation Portable","windows","PlayStation Portable","0.0","0.0","Kansei","PaRappa the Rapper","Kansei","PaRappa the Rapper","0.0","0.0","sakevisual","NanaOn-Sha","sakevisual","NanaOn-Sha","0.19999999999999996","0.19999999999999996","2018-01-01T00:00","1996-01-01T00:00","2018-01-01T00:00","1996-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_22900","wikidata_27480","0.013428744153022166",,"linux","Linux","linux","Linux","1.0","1.0","Nantucket","Narcissu","Nantucket","Narcissu","0.0","0.0","Picaresque Studio","stage-nana","Picaresque Studio","stage-nana","0.11764705882352944","0.11764705882352944","2018-01-01T00:00","2005-01-01T00:00","2018-01-01T00:00","2005-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_7159","wikidata_20065","0.012238652322250423",,"windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","ManaCollect","Manhunt","ManaCollect","Manhunt","0.0","0.0","Tazigen Clock","Rockstar North","Tazigen Clock","Rockstar North","0.0714285714285714","0.0714285714285714","2015-01-01T00:00","2003-01-01T00:00","2015-01-01T00:00","2003-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_5272","wikidata_10833","0.9860463797310312",,"linux","Microsoft Windows","linux","Microsoft Windows","1.0","1.0","6180 the moon","6180 the Moon","6180 the moon","6180 the Moon","1.0","1.0","Turtle Cream;PokPoong Games",,"Turtle Cream;PokPoong Games",,"0.0","0.0","2014-01-01T00:00","2014-01-01T00:00","2014-01-01T00:00","2014-01-01T00:00","1.0","1.0"
"WekaMatchingRule","steam_games_19","wikidata_2432",,"1","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Half-Life","Half-Life (videospeletjie)","Half-Life","Half-Life (videospeletjie)","0.6666666666666666","0.6666666666666666","Valve","Valve Corporation","Valve","Valve Corporation","0.2941176470588235","0.2941176470588235","1998-01-01T00:00","1998-01-01T00:00","1998-01-01T00:00","1998-01-01T00:00","1.0","1.0"
"WekaMatchingRule","steam_games_34191","wikidata_24837","0.01693082663041373",,"windows","Linux","windows","Linux","1.0","1.0","Delve","DEADBOLT","Delve","DEADBOLT","0.0","0.0","YOUR DEAD Videogame Production","Hopoo Games, LLC","YOUR DEAD Videogame Production","Hopoo Games, LLC","0.23333333333333328","0.23333333333333328","2018-01-01T00:00","2016-01-01T00:00","2018-01-01T00:00","2016-01-01T00:00","0.0","0.0"
