"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] TitleComparator record1Value","[0] TitleComparator record2Value","[0] TitleComparator record1PreprocessedValue","[0] TitleComparator record2PreprocessedValue","[0] TitleComparator similarity","[0] TitleComparator postproccesedSimilarity","[1] PlatformComparatorAdvanced record1Value","[1] PlatformComparatorAdvanced record2Value","[1] PlatformComparatorAdvanced record1PreprocessedValue","[1] PlatformComparatorAdvanced record2PreprocessedValue","[1] PlatformComparatorAdvanced similarity","[1] PlatformComparatorAdvanced postproccesedSimilarity","[2] PublisherComparator record1Value","[2] PublisherComparator record2Value","[2] PublisherComparator record1PreprocessedValue","[2] PublisherComparator record2PreprocessedValue","[2] PublisherComparator similarity","[2] PublisherComparator postproccesedSimilarity","[3] DeveloperComparator record1Value","[3] DeveloperComparator record2Value","[3] DeveloperComparator record1PreprocessedValue","[3] DeveloperComparator record2PreprocessedValue","[3] DeveloperComparator similarity","[3] DeveloperComparator postproccesedSimilarity","[4] PubDateComparator record1Value","[4] PubDateComparator record2Value","[4] PubDateComparator record1PreprocessedValue","[4] PubDateComparator record2PreprocessedValue","[4] PubDateComparator similarity","[4] PubDateComparator postproccesedSimilarity"
"LinearCombinationMatchingRule","steam_games_21293","wikidata_21261","0.3213888888888889",,"Deliverace","Defenders","Deliverace","Defenders","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Skyjaz Games","Nival","Skyjaz Games","Nival","0.42777777777777776","0.42777777777777776","Skyjaz Games",,"Skyjaz Games",,"0.0","0.0","2018-01-01T00:00","2013-01-01T00:00","2018-01-01T00:00","2013-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_27604","wikidata_5519","0.3",,"Colony","Colonization","Colony","Colonization","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","eugeniy_kh","MicroProse","eugeniy_kh","MicroProse","0.0","0.0","eugeniy_kh","MicroProse","eugeniy_kh","MicroProse","0.0","0.0","2017-01-01T00:00","1994-01-01T00:00","2017-01-01T00:00","1994-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_35775","wikidata_11871","0.3",,"MilMo","Minesweeper","MilMo","Minesweeper","0.0","0.0","windows","Linux","windows","Linux","1.0","1.0","Dohi Sweden AB",,"Dohi Sweden AB",,"0.0","0.0","Dohi Sweden AB",,"Dohi Sweden AB",,"0.0","0.0","2018-01-01T00:00","1989-01-01T00:00","2018-01-01T00:00","1989-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_39506","wikidata_20695","0.3286568986568986",,"Spacelair","Spore","Spacelair","Spore","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Bodin Concept","Electronic Arts","Bodin Concept","Electronic Arts","0.5731379731379732","0.5731379731379732","Espen-André Bodin","Maxis","Espen-André Bodin","Maxis","0.0","0.0","2019-01-01T00:00","2008-01-01T00:00","2019-01-01T00:00","2008-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_1090","wikidata_34661","0.35299145299145296",,"Fortix","Fotonica","Fortix","Fotonica","0.0","0.0","mac","Linux","mac","Linux","1.0","1.0","Nemesys Games",,"Nemesys Games",,"0.0","0.0","Nemesys Games","Santa Ragione","Nemesys Games","Santa Ragione","0.5299145299145299","0.5299145299145299","2010-01-01T00:00","2014-01-01T00:00","2010-01-01T00:00","2014-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_19768","wikidata_22299","0.3725",,"Teria","Terraria","Teria","Terraria","0.0","0.0","windows","macOS","windows","macOS","1.0","1.0","ElZzap Software","505 Games","ElZzap Software","505 Games","0.39999999999999997","0.39999999999999997","ElZzap Software","Re-Logic","ElZzap Software","Re-Logic","0.525","0.525","2017-01-01T00:00","2011-01-01T00:00","2017-01-01T00:00","2011-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_32111","wikidata_4604","0.3286111111111111",,"Ratergy","Rappelz","Ratergy","Rappelz","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Bolanzarts","Webzen Games","Bolanzarts","Webzen Games","0.5722222222222223","0.5722222222222223","Jens Bolanz",,"Jens Bolanz",,"0.0","0.0","2018-01-01T00:00","2009-01-01T00:00","2018-01-01T00:00","2009-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_39506","wikidata_20694","0.3286568986568986",,"Spacelair","Spore","Spacelair","Spore","0.0","0.0","windows","macOS","windows","macOS","1.0","1.0","Bodin Concept","Electronic Arts","Bodin Concept","Electronic Arts","0.5731379731379732","0.5731379731379732","Espen-André Bodin","Maxis","Espen-André Bodin","Maxis","0.0","0.0","2019-01-01T00:00","2008-01-01T00:00","2019-01-01T00:00","2008-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_6463","wikidata_22486","0.365050505050505",,"Crow","CRYSIS","Crow","CRYSIS","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Sunside Inc","Electronic Arts","Sunside Inc","Electronic Arts","0.46262626262626255","0.46262626262626255","Sunside Inc","Crytek","Sunside Inc","Crytek","0.41919191919191917","0.41919191919191917","2014-01-01T00:00","2007-01-01T00:00","2014-01-01T00:00","2007-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_22900","wikidata_27480","0.3288034188034188",,"Nantucket","Narcissu","Nantucket","Narcissu","0.0","0.0","linux","Linux","linux","Linux","1.0","1.0","Fish Eagle","Sekai Project","Fish Eagle","Sekai Project","0.5760683760683761","0.5760683760683761","Picaresque Studio","stage-nana","Picaresque Studio","stage-nana","0.0","0.0","2018-01-01T00:00","2005-01-01T00:00","2018-01-01T00:00","2005-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_31875","wikidata_31510","0.3",,"Manaya","Madagascar","Manaya","Madagascar","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Wurrad","Activision Publishing","Wurrad","Activision Publishing","0.0","0.0","Wurrad","Toys for Bob","Wurrad","Toys for Bob","0.0","0.0","2018-01-01T00:00","2005-01-01T00:00","2018-01-01T00:00","2005-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_22900","wikidata_27481","0.3288034188034188",,"Nantucket","Narcissu","Nantucket","Narcissu","0.0","0.0","linux","Microsoft Windows","linux","Microsoft Windows","1.0","1.0","Fish Eagle","Sekai Project","Fish Eagle","Sekai Project","0.5760683760683761","0.5760683760683761","Picaresque Studio","stage-nana","Picaresque Studio","stage-nana","0.0","0.0","2018-01-01T00:00","2005-01-01T00:00","2018-01-01T00:00","2005-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_7159","wikidata_20065","0.3791742979242979",,"ManaCollect","Manhunt","ManaCollect","Manhunt","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Fruitbat Factory","Rockstar Games","Fruitbat Factory","Rockstar Games","0.5456349206349206","0.5456349206349206","Tazigen Clock","Rockstar North","Tazigen Clock","Rockstar North","0.5189255189255189","0.5189255189255189","2015-01-01T00:00","2003-01-01T00:00","2015-01-01T00:00","2003-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_18724","wikidata_22798","0.3488095238095238",,"SugarMill","Superfrog","SugarMill","Superfrog","0.0","0.0","windows","macOS","windows","macOS","1.0","1.0","Aatlantis Code","Team17","Aatlantis Code","Team17","0.3253968253968254","0.3253968253968254","Aatlantis Code","Team17","Aatlantis Code","Team17","0.3253968253968254","0.3253968253968254","2016-01-01T00:00","1993-01-01T00:00","2016-01-01T00:00","1993-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_5272","wikidata_10834","0.8499999999999999",,"6180 the moon","6180 the Moon","6180 the moon","6180 the Moon","1.0","1.0","linux","macOS","linux","macOS","1.0","1.0","Turtle Cream",,"Turtle Cream",,"0.0","0.0","Turtle Cream;PokPoong Games",,"Turtle Cream;PokPoong Games",,"0.0","0.0","2014-01-01T00:00","2014-01-01T00:00","2014-01-01T00:00","2014-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","steam_games_5272","wikidata_10833","0.8499999999999999",,"6180 the moon","6180 the Moon","6180 the moon","6180 the Moon","1.0","1.0","linux","Microsoft Windows","linux","Microsoft Windows","1.0","1.0","Turtle Cream",,"Turtle Cream",,"0.0","0.0","Turtle Cream;PokPoong Games",,"Turtle Cream;PokPoong Games",,"0.0","0.0","2014-01-01T00:00","2014-01-01T00:00","2014-01-01T00:00","2014-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","steam_games_34191","wikidata_24837","0.3666666666666667",,"Delve","DEADBOLT","Delve","DEADBOLT","0.0","0.0","windows","Linux","windows","Linux","1.0","1.0","YOUR DEAD Videogame Production","Hopoo Games, LLC","YOUR DEAD Videogame Production","Hopoo Games, LLC","0.0","0.0","YOUR DEAD Videogame Production","Hopoo Games, LLC","YOUR DEAD Videogame Production","Hopoo Games, LLC","0.0","0.0","2018-01-01T00:00","2016-01-01T00:00","2018-01-01T00:00","2016-01-01T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","steam_games_557","wikidata_35727","0.43333333333333335",,"DeathSpank","Demonbane","DeathSpank","Demonbane","0.0","0.0","mac","Microsoft Windows","mac","Microsoft Windows","1.0","1.0","Electronic Arts",,"Electronic Arts",,"0.0","0.0","Hothead Games",,"Hothead Games",,"0.0","0.0","2010-01-01T00:00","2011-01-01T00:00","2010-01-01T00:00","2011-01-01T00:00","0.6666666666666667","0.6666666666666667"
"LinearCombinationMatchingRule","steam_games_10075","wikidata_26706","0.3",,"Prismatica","PRIMAL×HEARTS","Prismatica","PRIMAL×HEARTS","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Loomus Games",,"Loomus Games",,"0.0","0.0","Loomus Games",,"Loomus Games",,"0.0","0.0","2015-01-01T00:00","","2015-01-01T00:00","","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_22839","wikidata_33061","0.3",,"Gunsmith","Guns'N'Zombies","Gunsmith","Guns'N'Zombies","0.0","0.0","windows","macOS","windows","macOS","1.0","1.0","Seacorp Technologies","Krealit","Seacorp Technologies","Krealit","0.0","0.0","Seacorp Technologies","Krealit","Seacorp Technologies","Krealit","0.0","0.0","2018-01-01T00:00","2014-01-01T00:00","2018-01-01T00:00","2014-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_34191","wikidata_24838","0.3666666666666667",,"Delve","DEADBOLT","Delve","DEADBOLT","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","YOUR DEAD Videogame Production","Hopoo Games, LLC","YOUR DEAD Videogame Production","Hopoo Games, LLC","0.0","0.0","YOUR DEAD Videogame Production","Hopoo Games, LLC","YOUR DEAD Videogame Production","Hopoo Games, LLC","0.0","0.0","2018-01-01T00:00","2016-01-01T00:00","2018-01-01T00:00","2016-01-01T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","steam_games_36677","wikidata_33028","0.5",,"MOMO.EXE","Mothergunship","MOMO.EXE","Mothergunship","0.0","0.0","mac","Microsoft Windows","mac","Microsoft Windows","1.0","1.0","Dymchick1","Grip Games","Dymchick1","Grip Games","0.0","0.0","Dymchick1","Grip Games","Dymchick1","Grip Games","0.0","0.0","2018-01-01T00:00","2018-01-01T00:00","2018-01-01T00:00","2018-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","steam_games_18911","wikidata_16282","0.3557407407407407",,"Biomydra","Bioshock","Biomydra","Bioshock","0.0","0.0","windows","macOS","windows","macOS","1.0","1.0","Campus ADN","2K Games","Campus ADN","2K Games","0.4666666666666666","0.4666666666666666","Class of 2015-2016","Irrational Games","Class of 2015-2016","Irrational Games","0.32407407407407407","0.32407407407407407","2017-01-01T00:00","2007-01-01T00:00","2017-01-01T00:00","2007-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_9909","wikidata_32844","0.3",,"Gunpowder","Gunrox","Gunpowder","Gunrox","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Rogue Rocket Games",,"Rogue Rocket Games",,"0.0","0.0","Rogue Rocket Games",,"Rogue Rocket Games",,"0.0","0.0","2015-01-01T00:00","2008-01-01T00:00","2015-01-01T00:00","2008-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_29335","wikidata_27415","0.3208333333333333",,"SAWKOBAN","Saw","SAWKOBAN","Saw","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Bullid Games","Konami","Bullid Games","Konami","0.4166666666666667","0.4166666666666667","Bullid Games","Zombie Studios","Bullid Games","Zombie Studios","0.0","0.0","2018-01-01T00:00","2009-01-01T00:00","2018-01-01T00:00","2009-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_6079","wikidata_20694","0.3258333333333333",,"Spellcrafter","Spore","Spellcrafter","Spore","0.0","0.0","windows","macOS","windows","macOS","1.0","1.0","Jujubee S.A.","Electronic Arts","Jujubee S.A.","Electronic Arts","0.5166666666666667","0.5166666666666667","Jujubee S.A.","Maxis","Jujubee S.A.","Maxis","0.0","0.0","2015-01-01T00:00","2008-01-01T00:00","2015-01-01T00:00","2008-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_14238","wikidata_26200","0.3666666666666667",,"Meld","Metrico","Meld","Metrico","0.0","0.0","mac","Microsoft Windows","mac","Microsoft Windows","1.0","1.0","Axis Games",,"Axis Games",,"0.0","0.0","Axis Games",,"Axis Games",,"0.0","0.0","2016-01-01T00:00","2014-01-01T00:00","2016-01-01T00:00","2014-01-01T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","steam_games_6079","wikidata_20695","0.3258333333333333",,"Spellcrafter","Spore","Spellcrafter","Spore","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Jujubee S.A.","Electronic Arts","Jujubee S.A.","Electronic Arts","0.5166666666666667","0.5166666666666667","Jujubee S.A.","Maxis","Jujubee S.A.","Maxis","0.0","0.0","2015-01-01T00:00","2008-01-01T00:00","2015-01-01T00:00","2008-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_14919","wikidata_26854","0.37537698412698417",,"Blaite","BloodRayne","Blaite","BloodRayne","0.0","0.0","linux","Microsoft Windows","linux","Microsoft Windows","1.0","1.0","Akim Games","Majesco Entertainment","Akim Games","Majesco Entertainment","0.44603174603174606","0.44603174603174606","Dosane Games","Terminal Reality","Dosane Games","Terminal Reality","0.5307539682539683","0.5307539682539683","2017-01-01T00:00","2002-01-01T00:00","2017-01-01T00:00","2002-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_13305","wikidata_4082","0.39907894736842103",,"MechoEcho","MechQuest","MechoEcho","MechQuest","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Resilient Games Ltd.","Artix Entertainment","Resilient Games Ltd.","Artix Entertainment","0.6605263157894736","0.6605263157894736","Resilient Games Ltd.","Artix Entertainment","Resilient Games Ltd.","Artix Entertainment","0.6605263157894736","0.6605263157894736","2016-01-01T00:00","2007-01-01T00:00","2016-01-01T00:00","2007-01-01T00:00","0.0","0.0"
