"Blocking Key Value","Frequency"
"THELSC","210"
"BE10AL,INSUSO","207"
"SUSMBR","205"
"NASHUL","195"
"STWARE","192"
"WA","190"
"HISCMU","184"
"DI,NH2K,THINHU,MAES2","180"
"SUROTA,STWAJE","175"
"KI","170"
"THKIOF","2698"
"SI,AVTHLA","165"
"TOHAPR","2580"
"QU","159"
"WWSMVS,GRTHAU","2340"
"MEGESO","2310"
"STWATH","2178"
"MOSUGU","2046"
"MALEBA","2024"
"MEOFHO","1988"
"CO&CO","1881"
"HAPOAN","1728"
"NEFOSP","19106"
"CAOFDU","8060"
"PREVSO","5772"
"THLEOF","5400"
"LESTWA","4867"
"NB2K","4698"
"TEMUNI","2912"
"DRBAZ:","2816"
"LEHAPO","2786"
"TIWOPG","2700"
"SOTHHE","1568"
"TE","1558"
"TOCLSP","1534"
"THLOOF","1450"
"STWABA","1391"
"TOCLRA","1323"
"THADOF","1260"
"PROFPE","1248"
"GU","1243"
"CO","1232"
"FIFAXI","1152"
"BA","1144"
"LEINJO","1131"
"SHMETE","1120"
"DE","1078"
"ST","972"
"JUDA20","936"
"CA","910"
"TOCLGH","777"
"BL","765"
"F120","756"
"MO","714"
"PA","672"
"BU","640"
"PIOFTH","611"
"CABIGA","600"
"DEMACR","560"
"JABO00","558"
"DADARE","546"
"MA","540"
"FOMA20","539"
"PLVSZO","492"
"MANF20","480"
"RA&CL","468"
"JIPOPR","462"
"FR","420"
"RO","418"
"DR,MASUHE","390"
"BO","384"
"MXVSAT","380"
"THSI2:","378"
"BRINAR","372"
"STWAEP","369"
"TRREOF,NBLI20","352"
"MI","350"
"PHWRAC","325"
"PO,RA,SUMOBA","324"
"GOOFWA","308"
"POMYDU,ROOFTH,LEMASU","306"
"DISIIT","300"
"ASCRII,20FIWO","297"
"SP","289"
"SDGUG","288"
"NH20","285"
"DOKOCO,THCHOF","280"
"KISEGU","275"
"INJOAN,MA&SO","270"
"MY","261"
"REEVRE","260"
"KUFUPA","255"
"GR,DRQUVI,DEORAL,CADAHU","252"
"SU","245"
"EX,SH","234"
"NA,COMCRA,MEMABA","231"
"MAULAL","228"
"KA,LEPIOF","224"
"SUROWA","222"
"RI","221"
