"Blocking Key Value","Frequency"
"PHWRACDS","33"
"WWSMVSWii,LOOFTHXB,DEMACRPS2,FIFAXIPS2,CAOFDUPS2","32"
"KIOFFIPS,RIPC,TOHAPRXB,GRTHAUPS2,INSUSON64,MEGESOX360,MEMASTDS,LESTWAPS3,DISIITWii,CAOFDUWii,TIWOPGWii,DISIITPS3","30"
"TOCLSPPS3,NEFOSPPS,POMYDUGBA,MEGESOPSP,MEGESOPS2,TOHAPRPS2,SUMABRNES","28"
"LOOFTHGBA,JUDA20XOne,PIOFTHGBA,SOU.NAPSP,STWATHPC,MI&MAPC,JUDA20PS4,LEOFZEGBA","27"
"FIFAXIPC,SOTHHEPS3","26"
"NH20PS2,TIWOPGXB,NBLI20PS2,KIPS2,MALEBAWii","25"
"MALEBADS,CO&COPS,CAVSSNDC,LEOFZE3DS,TOCLRAXB,TOCLSPPC,NB2KPS4,TOHAPRPS,TOWASHPC,STWATHDS,PRPC,JUDA20Wii,HAPOANPS2,WWSMVSDS,SIPC,MOSUGUPS3,PLVSZOPC,TEMUNINES,CAOFDUPS4,CAOFDUXOne,NB2KXOne","24"
"LEINJOX360,LEINJOWii,LEINJOPSP,LEINJOPS3,LEINJODS","22"
"AROFTWPS3,PROFPEXB,PROFPEGC,JUDA20WiiU,AROFTWX360,SIMECIPC,PROFPEPS3,PROFPEPS2","21"
"WWSMVSPS2","128"
"SHMETE3DS,STWATHWii,TOCLSPGC,LESTWAGBA,TORAIIPC,LESTWAXB,LESTWAGC,DRBAZ:DS,F120PS3,LESTWAWii,LESTWAPS2,MYCAFIPC,FIFAXIPS3,F120X360,NASHULPS3,MOSUGUPSP,TEMUNIPS2,MEMAZEGBA,CABIGAX360","20"
"NB2KPS3","121"
"HEOFMIPC","19"
"LESTWAPC","120"
"STWATHPS2,LEOFZEGC,JUDA20X360,DOKOCOSNES,DRBAZ:X360,TOCLSPX360,SUSMBR3DS,J-WIELPS2,DEMACRX360,NCMAMAPS2,LOOFTHGC,MEOFHOGC,MEOFHOXB,TOHAPRGBA,LESTWAPSP,GUHEONDS,TOHAPRN64,DEMACRPS3,PREVSOXOne,DOKOCOGBA,STWAJEXB,DAPC,PREVSOPS4,MAPC","18"
"MEMABAGBA","119"
"SUSMBRWiiU","17"
"NEFOSPPS2","112"
"PROFPEPC,MAVSDODS,MA&SOWiiU,HAPOANGBA,GEOFWAX360,NCFO20PS2,NB2KXB,GRTHAUPS3,DYWAGUPS3,NB2KWii,STWAKNXB,NH2KPS2,NH20XB,NBLI20XB,COPC,NASHULX360,HAFAGAWii,18WHOFPC,ASCRIIPC,KISEGUPSP,PRLAANDS,TRREOFDS,DRTOLIDS,TANOTAWii,EASPACWii","16"
"NB2KX360","108"
"HAMODSDS,TOHAPRX360,MANF20PS2,BLPC,CALOOFX360,NFQUCLN64,DRBAZ:PS3,CALOOFPS3,TOCLSPPS2,NAULNIPS2,INELGO3DS,HAPOANDS,TOCLSPXB,JUDA20PS3,MASUHEWii,GRTHAUPS,COXB,SUFIPRSNES,SUROTADS,TOHAPRPS3,POOMRU3DS,TOCLGHXB,HISCMUDS","15"
"PREVSOX360","104"
"NEFOSPPSP,NEFOSPDS","102"
"SHMETEPS2","100"
"STWABAPC,PREVSOPS3","99"
"NEFOSPPC","481"
"CO&COPC","451"
"CAOFDUPC","340"
"NEFOSPX360","240"
"NEFOSPPS3","225"
"FOMA20PC","216"
"CAOFDUX360,MOSUGUPS2","182"
"KIOFFIPS2","180"
"PREVSOPC","152"
"CAOFDUPS3","143"
"EUTRSIPC,20FIWOX360,DASOIIPC,SOTHHEX360,KIOFFIDC,STWAEPGBA,GUPS2,PIOFTHDS,PIOFTHPSP,STWAEPPS,SNGHWAPC,STWAROGC,TEMUNIX360,GUX360","14"
"LIISSTPC","13"
"MXVSATX360,STWATHPS3,RARARAWii,EVONPC,LOOFTHPS3,REEVOUPS2,STX360,TIWOPGGC,MOPC,WW2KPS3,ATOFFUPS2,KUFUPAWii,DYWAGUX360,JABO00XB,COPS2,20FIWOPS3,JABO00GC,MANF20PS,CO&COX360,RARARADS,KUFUPADS,SUMOBAGC,NB2KPSP,JABO00PS2,HAPOANGC,FIFAVIPS,HAPOANXB,MA&SOWii,PHANFEDS,DRBAZ:GC,ONPIPIPS3,RA&CLPSV,FIEMSHDS,MEOFHOX360,CRX360,COMCRAPS,BL&WHPC,NFGA20PS2,CAOFJUX360,CABIGAPS3,TOCLGHPS2,SI4PC,NBLI20PS,DRBAZ:SNES,CABIGAWii,LEOFZEWiiU,SHMETEPSP,DADAREXB,DRPS2,BE10ALPS2,MAPS2,CAOFJUPC,TEMUNIGC,TEMUNIXB,MEOFHOPS3,BAX360,MA&LU3DS,UNTO20PC,BLX360,STWATHX360,DISIITPS2,MXVSATPS3,NFGA20PS,MAXB","12"
"BRINARPC","11"
"RA&CLPS3,MEGESOPS3","96"
"SUROTAGBA,ASCRIIPS3,NOMOHEWii,ASCRIIX360,HISCMUWii,JOBIADPS3,WOSOWIPS2,BE10ALWii,HISCMUPS2,DAX360,STWABAPS4,RAPC,TIPC,TORAIIPS,MYPC,PAPC,SOU.NAPS2,STWABAXOne,CAOFDUXB,TOCLRAPS3,BE10ALDS,STFIIISNES,JIPOPRN64,TOCLRAX360,COMCRAPC,NH2KX360,DEMACRPS4,SAPC,FIFAXIPS4,SA&MAWii,MEOFHOPSP,STWAJEPC,MA&SO3DS,DIIIPC,BAPC","10"
"WWSMVSPSP,MEOFHOPC","84"
"DIPC,CADAHUPS2,GRAUPC,DOKOLAGB,AVTHLAWii,TYTHTAGC,SUMALAGB,TIWOPGPC,BAARTOPS,MEGESOPC,TITOADPS,TYTHTAXB,BRPC,TYTHTAPS2,DRBAZ:PSP,NATH20XB,TEPSV,GRTHAUX360,KIOFFIXB,NATH20PS2,TOCLGHX360,GRTHAUPSP,PU&DR3DS,NFFE20XB,TOXTRAPS2,COMCRAXB,CABIGAPS2,NBSH20PS,NH20GC,MIARTRGC,NBLI20GC,TACOCODS,ADOFJIGBA,CRPC,WAPS2,NBSH20PS2,DEORALX360,BLPS2,TOCLGHPC,REOFAGPS3,SOTHHEGG,WAOFTHPS2,NCFO20XB,NCFO20GC,MIARTRPS2,PROFPEPSP,BUPS2,WW2KX360","9"
"GRTHAUPC,TIWOPGPS2,PREVSOPS2","80"
