"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] TitleComparator record1Value","[0] TitleComparator record2Value","[0] TitleComparator record1PreprocessedValue","[0] TitleComparator record2PreprocessedValue","[0] TitleComparator similarity","[0] TitleComparator postproccesedSimilarity","[1] PlatformComparatorAdvanced record1Value","[1] PlatformComparatorAdvanced record2Value","[1] PlatformComparatorAdvanced record1PreprocessedValue","[1] PlatformComparatorAdvanced record2PreprocessedValue","[1] PlatformComparatorAdvanced similarity","[1] PlatformComparatorAdvanced postproccesedSimilarity","[2] PublisherComparator record1Value","[2] PublisherComparator record2Value","[2] PublisherComparator record1PreprocessedValue","[2] PublisherComparator record2PreprocessedValue","[2] PublisherComparator similarity","[2] PublisherComparator postproccesedSimilarity","[3] PubDateComparator record1Value","[3] PubDateComparator record2Value","[3] PubDateComparator record1PreprocessedValue","[3] PubDateComparator record2PreprocessedValue","[3] PubDateComparator similarity","[3] PubDateComparator postproccesedSimilarity"
"WekaMatchingRule","wikidata_29590","vg_sales_592","0.9585092753941576",,"NBA Live 2005","NBA Live 2005","NBA Live 2005","NBA Live 2005","1.0","1.0","PlayStation 2","PS2","PlayStation 2","PS2","1.0","1.0","Electronic Arts","Electronic Arts","Electronic Arts","Electronic Arts","1.0","1.0","2004-01-01T00:00","2004-01-01T00:00","2004-01-01T00:00","2004-01-01T00:00","1.0","1.0"
"WekaMatchingRule","wikidata_1664","vg_sales_9793",,"0","Time Zone","The King of Fighters Collection: The Orochi Saga","Time Zone","The King of Fighters Collection: The Orochi Saga","0.0","0.0","Apple II","Wii","Apple II","Wii","0.0","0.0","Sierra Entertainment","Ignition Entertainment","Sierra Entertainment","Ignition Entertainment","0.655050505050505","0.655050505050505","1982-01-01T00:00","2008-01-01T00:00","1982-01-01T00:00","2008-01-01T00:00","0.0","0.0"
"WekaMatchingRule","wikidata_17931","vg_sales_12606","0.9585092753941576",,"Pro Evolution Soccer 2011","pro evolution soccer 2011","Pro Evolution Soccer 2011","pro evolution soccer 2011","1.0","1.0","Microsoft Windows","PC","Microsoft Windows","PC","1.0","1.0","Konami","Konami Digital Entertainment","Konami","Konami Digital Entertainment","0.8428571428571429","0.8428571428571429","2010-01-01T00:00","2010-01-01T00:00","2010-01-01T00:00","2010-01-01T00:00","1.0","1.0"
"WekaMatchingRule","wikidata_27565","vg_sales_5247",,"1","Frogs and Flies","Frogs And Flies","Frogs and Flies","Frogs And Flies","1.0","1.0","Atari 2600","2600","Atari 2600","2600","1.0","1.0","Mattel","Mattel Interactive","Mattel","Mattel Interactive","0.8666666666666666","0.8666666666666666","1982-01-01T00:00","1981-01-01T00:00","1982-01-01T00:00","1981-01-01T00:00","0.0","0.0"
"WekaMatchingRule","wikidata_15505","vg_sales_10165",,"0","SOCOM: U.S. Navy SEALs Fireteam Bravo 3","The Spiderwick Chronicles","SOCOM: U.S. Navy SEALs Fireteam Bravo 3","The Spiderwick Chronicles","0.0","0.0","PlayStation Portable","X360","PlayStation Portable","X360","0.0","0.0","Sony Interactive Entertainment","Vivendi Games","Sony Interactive Entertainment","Vivendi Games","0.0","0.0","2010-01-01T00:00","2008-01-01T00:00","2010-01-01T00:00","2008-01-01T00:00","0.0","0.0"
"WekaMatchingRule","wikidata_26822","vg_sales_7655","0.9585092753941576","1","Grandia II","Grandia II","Grandia II","Grandia II","1.0","1.0","Dreamcast","DC","Dreamcast","DC","1.0","1.0","Sega","Ubisoft","Sega","Ubisoft","0.0","0.0","2000-01-01T00:00","2000-01-01T00:00","2000-01-01T00:00","2000-01-01T00:00","1.0","1.0"
"WekaMatchingRule","wikidata_33159","vg_sales_5930",,"0","Doraemon 2: SOS! Otogi no Kuni","Dragon Quest Builders: Revive Alefgard","Doraemon 2: SOS! Otogi no Kuni","Dragon Quest Builders: Revive Alefgard","0.0","0.0","PlayStation","PSV","PlayStation","PSV","0.0","0.0","Epoch Co.","Square Enix","Epoch Co.","Square Enix","0.0","0.0","1997-01-01T00:00","2016-01-01T00:00","1997-01-01T00:00","2016-01-01T00:00","0.0","0.0"
"WekaMatchingRule","wikidata_10467","vg_sales_15005","0.9585092753941576",,"Tom Clancy’s Rainbow Six: Vegas 2","Tom Clancy's Rainbow Six: Vegas 2","Tom Clancy’s Rainbow Six: Vegas 2","Tom Clancy's Rainbow Six: Vegas 2","1.0","1.0","Microsoft Windows","PC","Microsoft Windows","PC","1.0","1.0","Ubisoft","Ubisoft","Ubisoft","Ubisoft","1.0","1.0","2008-01-01T00:00","2008-01-01T00:00","2008-01-01T00:00","2008-01-01T00:00","1.0","1.0"
"WekaMatchingRule","wikidata_21349","vg_sales_2018","0.9585092753941576",,"Epic Mickey 2: The Power of Two","Epic Mickey 2: The Power of Two","Epic Mickey 2: The Power of Two","Epic Mickey 2: The Power of Two","1.0","1.0","Nintendo Wii","Wii","Nintendo Wii","Wii","1.0","1.0","Sony Interactive Entertainment","Disney Interactive Studios","Sony Interactive Entertainment","Disney Interactive Studios","0.6301394511920827","0.6301394511920827","2012-01-01T00:00","2012-01-01T00:00","2012-01-01T00:00","2012-01-01T00:00","1.0","1.0"
"WekaMatchingRule","wikidata_29736","vg_sales_4768","0.21824204589159946",,"Jikkyō Power Pro Wrestling '96: Max Voltage","Jikkyou Powerful Pro Yakuu '94","Jikkyō Power Pro Wrestling '96: Max Voltage","Jikkyou Powerful Pro Yakuu '94","0.2","0.2","Super Nintendo Entertainment System","SNES","Super Nintendo Entertainment System","SNES","1.0","1.0","Konami","Konami Digital Entertainment","Konami","Konami Digital Entertainment","0.8428571428571429","0.8428571428571429","1996-01-01T00:00","1994-01-01T00:00","1996-01-01T00:00","1994-01-01T00:00","0.0","0.0"
