developer,count
Choice of Games,282
Hosted Games,123
For Kids,108
Humongous Entertainment,102
Sly,78
"KOEI TECMO GAMES CO., LTD.",72
Valve,71
Winter Wolves,70
Ripknot Systems,62
HexWar Games,55
baKno Games,54
Bullid Games,54
Winged Cloud,53
Laush Dmitriy Sergeevich,51
Just1337 Studio,51
"Nikita ""Ghost_RUS""",50
Artifex Mundi,48
Daedalic Entertainment,48
DRUNKEN APES,47
"MicroProse Software, Inc",45
Dexion Games,45
RewindApp,43
XiNFiNiTY Games,43
ebi-hime,42
Brave Giant LTD,42
Creobit,41
Blender Games,40
Racing Bros,40
Double Fine Productions,39
FIVE-BN GAMES,39
Educational Games,39
Mihai Morosanu,38
Night Dreams Studio,38
Tin Man Games,37
Forever Entertainment S. A.,36
EnsenaSoft,36
HeR Interactive,36
MumboJumbo,34
"Jackbox Games, Inc.",33
"Arcen Games, LLC",33
Nekyau Games,32
Eipix Entertainment,32
Warfare Studios,31
Mikhail Melnikov,30
Wonderbox Games,30
Sunward Games,30
DIGIDICED,30
Milestone S.r.l.,29
Cateia Games,29
LucasArts,29
Simulators Live,28
ERS G Studios,28
Sapphire Dragon Productions,27
Mia Blais-Côté,27
Phr00t's Software,27
Zachtronics,27
Team17 Digital Ltd,27
Gamenesis,26
United Independent Entertainment GmbH,26
Konstructors Entertainment,26
JoyBits Ltd.,26
10tons Ltd,26
Real Fighting,26
Square Enix,25
Straywire,25
Silver Cow Studio,25
07th Expansion,25
InvertMouse,24
Endless Loop Studios,24
Cleverweek,24
VIS-Games,24
FreezeNova,24
Minor Key Games,24
Playloft,24
Paradox Development Studio,23
Starodymov,23
Red Dolphin Games,23
Arc System Works,23
phime studio LLC,23
Jetdogs Studios;Zoom Out Games,22
Telltale Games,22
Garnudo Games,22
Spiderweb Software,22
azimut team,22
Nickervision Studios,22
Casual.US,22
Lonely Troops,22
Walter Machado,21
Snkl Studio,21
Frontwing,21
Microids,21
Klei Entertainment,21
KING Art,21
Matthew Brown,21
Orangepixel,21
CSM,21
Quiet River,21
Stegalosaurus Game Development,21
Ubisoft Montreal,20
Anamik Majumdar,20
Anarchy Enterprises,20
Boogygames Studios,19
11 bit studios,19
Alawar Entertainment,19
Notus Games Ltd,19
Bohemia Interactive,19
Sacada,19
Fabio Ferrara,19
LillyWelland inc.,19
Shaman Games Studio,19
Digital Melody,19
Vyacheslav Shilikhin,19
Elephant Games,19
BrainGoodGames,18
id Software,18
The House of Fables,18
PlayFirst,18
