publisher,count
Choice of Games,282
Big Fish Games,218
Artifex Mundi,201
Sekai Project,168
Devolver Digital,152
Strategy First,137
Plug In Digital,137
THQ Nordic,133
Hosted Games,123
Ubisoft,118
Forever Entertainment S. A.,114
Daedalic Entertainment,111
For Kids,108
1C Entertainment,106
Square Enix,105
SEGA,102
Humongous Entertainment;Nightdive Studios,101
Paradox Interactive,100
Dagestan Technology,97
Sometimes You,95
Degica,93
KISS ltd,93
AGM PLAYISM,89
Buka Entertainment,85
OtakuMaker SARL,85
Valve,83
Slitherine Ltd.,81
Team17 Digital Ltd,78
SlyGames,78
MangaGamer,74
United Independent Entertainment GmbH,72
"KOEI TECMO GAMES CO., LTD.",71
Winter Wolves,70
HexWar Games,69
Microids,69
Retroism;Nightdive Studios,68
Kalypso Media Digital,66
Atriagames,66
Nightdive Studios,65
Focus Home Interactive,65
Ripknot Systems,62
Back To Basics Gaming,60
tinyBuild,60
BANDAI NAMCO Entertainment,60
Jetdogs Studios,58
Laush Studio,55
2K,54
baKno Games,54
Bullid Games,54
Winged Cloud,53
Iceberg Interactive,53
VT Publishing,51
Ghost_RUS Games,51
Just1337 Publisher,51
Deep Silver,50
New Reality Games,50
Dharker Studio,49
RewindApp,48
Asmodee Digital,47
Digital Tribe,47
Headup Games,47
DRUNKEN APES,47
Alawar Entertainment,47
Good Shepherd Entertainment,46
Dexion Games,45
GameHouse,44
Activision,44
Rising Star Games,44
8Floor,43
Disney Interactive,43
Curve Digital,42
ebi-hime,42
Blender Games,40
MumboJumbo,40
ANPA.US,40
HeR Interactive,40
Tero Lunkka,39
Educational Games,39
Double Fine Productions,38
Adult Swim Games,38
Night Dreams Studio,38
Libredia Entertainment,38
FIVE-BN GAMES,38
Bethesda Softworks,37
Phoenix Online Publishing,37
Dear Villagers,37
Tin Man Games,37
EnsenaSoft,36
Aldorlea Games,35
Libredia,35
JoyBits Ltd.,35
GrabTheGames,35
Digerati Distribution,34
Headup,34
Topware Interactive,34
Electronic Arts,34
Riviysky,33
"Jackbox Games, Inc.",33
"Arcen Games, LLC",33
Funbox Media Ltd,33
Versus Evil,32
Capcom,32
8floor,32
Mihai Morosanu,32
PlayFirst,31
Viva Media,31
505 Games,31
RunServer,31
Microsoft Studios,31
Paradise Project,30
Qumaron,30
HH-Games,30
11 bit studios,30
LucasArts;Lucasfilm;Disney Interactive,30
Freshtrax,30
Mikhail Melnikov,30
HandyGames,30
Wonderbox Games,30
Interplay Entertainment Corp.,30
Black Shell Media,30
"NIS America, Inc.",29
Simulators Live,28
AYE Technology,28
Microids Indie,28
Green Man Gaming Publishing,28
Hanako Games,27
Sapphire Dragon Productions,27
Phr00t's Software,27
Bitlock Studio,27
Zachtronics,27
Mia Blais-Côté,27
Bohemia Interactive,27
Nyu Media,27
Assemble Entertainment,26
Real Fighting,26
SakuraGame,26
PQube Limited,26
Gamenesis,26
Bigben Interactive,26
Interplay,26
10tons Ltd,26
astragon Entertainment,25
Casual.US,25
Silver Cow Studio,25
КиКо,25
Chubby Pixel,25
Milestone S.r.l.,25
Codemasters,25
W.T.B.,24
Nival,24
Playloft,24
3D Realms (Apogee Software),24
Cleverweek,24
FreezeNova,24
"PopCap Games, Inc.",24
