developer,count
Capcom,1302
Konami,1010
EA Vancouver,918
Traveller's Tales,715
Sonic Team,466
Game Freak,448
Electronic Arts,431
SNK,426
Sierra Entertainment,348
Ubisoft Montreal,336
Midway Games,317
Sega,305
id Software,296
Square Enix,295
EA Tiburon,282
KnowWonder,278
Namco,257
Square,242
Yuke's,227
Visual Concepts,223
Chunsoft,222
Nintendo Entertainment Analysis & Development,202
LucasArts,194
Treyarch,188
Koei Tecmo Holdings,174
Eurocom,172
"Bandai Co., Ltd.",171
Taito Corporation,169
EA Black Box,167
Codemasters,158
Westwood Studios,153
Rockstar North,153
"Atari, Inc.",152
Gameloft,148
Neversoft,146
Raven Software,146
Hudson Soft,132
Atari,131
Core Design,130
EA DICE,129
Pandemic Studios,129
Crystal Dynamics,127
Ubisoft Paris,127
Griptonite Games,125
Bandai Namco Entertainment,123
Nintendo,122
Ubisoft,120
Acclaim Studios London,113
Avalanche Software,111
Valve Corporation,108
Visceral Games,104
Sumo Digital,103
PopCap Games,103
Maxis,103
Koei,102
Naughty Dog,101
Heavy Iron Studios,101
Atlus,101
Luxoflux,101
Ubisoft Romania,97
High Voltage Software,95
Behaviour Interactive,94
Ubisoft Montpellier,92
Level-5,92
Tecmo,91
Activision Publishing,89
Nerve Software,89
Rare Ltd.,87
Danger Close Games,86
Irem,85
Sega AM2,85
Vicarious Visions,85
Atari Games,84
EA Sports,79
High Moon Studios,79
Toys for Bob,79
Dimps,78
Sports Interactive,77
Criterion Games,77
Nintendo Research & Development 1,76
Feral Interactive,75
Telltale Games,74
Blizzard Entertainment,74
Firaxis Games,74
HAL Laboratory,73
TT Games,73
MicroProse,73
Tose Co.,72
Acclaim Studios Austin,71
Intelligent Systems,70
Bullfrog Productions,68
New World Computing,68
Ubisoft Quebec,67
Infocom,65
Data East,65
Banpresto,64
THQ,64
Ubisoft Reflections,64
Blitz Games,64
Deep Silver Volition,63
Team Ninja,63
FromSoftware,61
RDI Video Systems,60
Rockstar San Diego,58
Platinum Games,58
Insomniac Games,57
Rebellion Developments,57
Milestone,56
CD Projekt RED,56
WMS Industries,56
Sega AM3,56
Interplay Entertainment,55
Sega Sports R&D,55
BioWare,54
4A Games,54
Inti Creates,53
Delphine Software International,53
Monkey Bar Games,52
ICOM Simulations,52
Rovio Entertainment,52
Kojima Productions,52
Black Rock Studio,50
The Collective,49
Terminal Reality,49
Bizarre Creations,48
Radical Entertainment,48
Pyro Studios,48
EA Mobile,48
Ubisoft Milan,48
Gremlin Interactive,48
Human Entertainment,48
IO Interactive,47
Beenox,47
Obsidian Entertainment,47
KID,47
Double Helix Games,47
Papaya Studio,46
U.S. Gold,46
Harmonix Music Systems,46
Team17,46
Mojang Studios,45
Distinctive Software,45
Stormfront Studios,45
Techland,44
Cryo Interactive,43
Edge of Reality,43
The Five powered & basics.,43
Cyan Worlds,43
Shaba Games,43
Konami Digital Entertainment,42
Camelot Software Planning,42
Krome Studios Melbourne,42
Pivotal Games,42
Argonaut Games,41
Polyphony Digital,41
Sculptured Software,41
