publisher,count
Electronic Arts,2324
Nintendo,1660
Activision Publishing,1604
Sega,1590
Capcom,1415
Ubisoft,1375
EA Sports,1182
Konami,1132
THQ,919
Sony Interactive Entertainment,866
LucasArts,638
Square Enix,623
Warner Bros. Interactive Entertainment,558
Eidos Interactive,446
SNK,428
Bandai Namco Entertainment,422
Midway Games,421
Sierra Entertainment,397
Disney Interactive Studios,347
Xbox Game Studios,344
Codemasters,256
Rockstar Games,249
Atari,248
Acclaim Entertainment,247
Virgin Interactive,240
Namco,233
"Bandai Co., Ltd.",227
2K Sports,223
Infogrames,211
Square,205
Koei,192
D3 Publisher,178
Bethesda Softworks,176
2K Games,174
Taito Corporation,155
Enix,146
Deep Silver,141
Domark Software,138
The Pokémon Company,138
Gameloft,136
"Atari, Inc.",129
Valve Corporation,127
Mindscape,116
Atlus,109
Hudson Soft,106
WMS Industries,104
Vivendi Games,100
Accolade,98
1C Company,91
Majesco Entertainment,89
Interplay Entertainment,87
Japan,86
MicroProse,85
id Software,83
Koei Tecmo Holdings,82
Strategic Simulations,79
PopCap Games,79
Tecmo,78
Ocean Software,76
U.S. Gold,76
505 Games,76
Imagine Software,71
Sunsoft,67
Focus Home Interactive,67
Bandai Namco Holdings,65
Cinematronics,64
Banpresto,64
Gathering of Developers,62
GT Interactive Software,61
EA Sports Big,61
Disney Interactive,60
Brøderbund,57
Devolver Digital,56
Empire Interactive,56
Infocom,55
Gottlieb,54
IBM,53
Blizzard Entertainment,53
Irem,52
The 3DO Company,52
Atari Games,51
Data East,49
Aspyr,49
Gremlin Interactive,48
Big Fish Games,47
Crave Entertainment,47
3D Realms,46
THQ Nordic,45
Level-5,44
LJN,43
Telltale Games,40
DreamCatcher Interactive,40
SCE Studio Liverpool,40
KID,40
Loriciels,36
Cinemaware,36
Superior Software,36
Nintendo Australia,35
Titus Software,35
Softclub,35
The Adventure Company,33
Feral Interactive,33
Square Enix Europe,32
Kalypso Media,32
Human Entertainment,32
Microsoft Corporation,31
System 3,31
Team17,31
Epyx,31
Romstar,30
Marvelous Entertainment,30
Ultra Games,30
Nippon Ichi Software,29
Rovio Entertainment,29
Takara,28
Imagic,28
world,28
Nicalis,28
Paradox Interactive,27
Fox Interactive,27
Krome Studios Melbourne,26
Epoch Co.,26
Hasbro Interactive,26
Akella,25
TDK Mediactive,24
Capstone Software,24
Microïds,23
JoWooD Entertainment,23
Sunflowers Interactive Entertainment Software,22
Cryo Interactive,22
First Star Software,22
Revolution Software,21
Daybreak Game Company,21
Reflexive Entertainment,21
2K Play,21
Take-Two Interactive,21
Simon & Schuster,21
cdv Software Entertainment,21
Aksys Games,21
New World Computing,20
SouthPeak Games,20
MidBoss,20
CI Games S.A.,20
G5 Entertainment,20
GameTek,20
Jaleco,20
Shockwave,20
Activision Blizzard,19
TopWare Interactive,19
Reverb Triple XP,19
Strategy First,19
Eolith,19
Spike,18
Natsume,18
Destineer,18
North America,18
Mastertronic,18
MumboJumbo,18
Nacon,17
Rainbow Arts,17
EMI Music Japan,17
Wargaming.net,17
Silmarils,17
Thomas Biskup,16
Compile Heart,16
JVC,16
Team Shanghai Alice,16
CD Projekt RED,16
NovaLogic,16
The Lego Group,16
TT Games Publishing,15
NEC,15
21st Century Entertainment,15
Crytek,15
HAL Laboratory,15
Conspiracy Entertainment,15
Alligata Software Ltd.,14
Asmik Ace Entertainment,14
The Game Factory,14
Milestone,14
MacPlay,14
Inkle,14
Technōs Japan Corporation,14
Sony Imagesoft,14
Spike Chunsoft,14
Vivendi,14
Hi Tech Expressions,14
Wanadoo,14
Pentavision,14
Eutechnyx,14
Beyond Software,14
PlayFirst,14
Daedalic Entertainment,14
Rebellion Developments,13
Introversion Software,13
Imagineer,13
Tradewest,13
ASCII Corporation,13
MADFINGER Games,13
Superhot Team,13
DTP entertainment,13
Victor Interactive Software,13
FromSoftware,13
UTV Ignition Games,13
989 Studios,13
Datasoft,13
Avalon Hill,13
MTV Games,12
Lankhor,12
Valcon Games,12
Kemco,12
Krisalis Software,12
Ambrosia Software,12
Culture Brain,12
Mirrorsoft,12
Q-Games,12
Muse Games,12
The Learning Company,12
Telecomsoft,12
Hewson Consultants,12
Avalon Interactive,12
Parker Brothers,11
Wisdom Tree,11
Source Studio Ltd.,11
Renegade Software,11
Muse Software,11
Electronic Arts Victor,11
Alawar Entertainment,11
Black Bean Games,11
Tru Blu Entertainment,11
Ultimate Play the Game,10
Technosoft,10
Rage Games,10
"Stern Electronics, Inc.",10
Pony Canyon,10
Apple Macintosh,10
Vir2L Studios,10
EightyEightGames,10
Fig,10
Red Orb Entertainment,10
Tengen,10
Jetdogs Studios,10
Peter Molyneux,10
SIE Japan Studio,10
Sinclair Research,10
PQube,9
Epic Games,9
SETA Corporation,9
Fabtek,9
11 bit studios,9
Sir-Tech,9
Varie,9
Zynga,9
Nihon Falcom,9
10tacle Studios,9
Mattel,9
Double Fine Productions,9
Toei Company,9
Buka Entertainment,9
indiePub,9
Arc System Works,9
Lexis Numérique,9
Core Design,9
Entertainment Software Publishing,9
broccoli,8
InnoGames,8
Absolute Entertainment,8
GungHo Online Entertainment,8
ASC Games,8
