id,title,platform,publisher,publishingdate,developer
wikidata_1,Star Wars Battlefront,Microsoft Windows,Electronic Arts,2015,EA DICE
wikidata_2,Star Wars Battlefront,PlayStation 4,Electronic Arts,2015,EA DICE
wikidata_3,Star Wars Battlefront,Xbox One,Electronic Arts,2015,EA DICE
wikidata_4,"Star Wars Battlefront (משחק וידאו, 2015)",Microsoft Windows,Electronic Arts,2015,EA DICE
wikidata_5,"Star Wars Battlefront (משחק וידאו, 2015)",PlayStation 4,Electronic Arts,2015,EA DICE
wikidata_6,"Star Wars Battlefront (משחק וידאו, 2015)",Xbox One,Electronic Arts,2015,EA DICE
wikidata_7,Star Wars Battlefront (computerspel uit 2015),Microsoft Windows,Electronic Arts,2015,EA DICE
wikidata_8,Star Wars Battlefront (computerspel uit 2015),PlayStation 4,Electronic Arts,2015,EA DICE
wikidata_9,Star Wars Battlefront (computerspel uit 2015),Xbox One,Electronic Arts,2015,EA DICE
wikidata_10,Civilization IV,Microsoft Windows,1C Company,2005,Firaxis Games
wikidata_11,Civilization IV,macOS,1C Company,2005,Firaxis Games
wikidata_12,Civilization 4,Microsoft Windows,1C Company,2005,Firaxis Games
wikidata_13,Civilization 4,macOS,1C Company,2005,Firaxis Games
wikidata_14,Sid Meier's Civilization IV,Microsoft Windows,1C Company,2005,Firaxis Games
wikidata_15,Sid Meier's Civilization IV,macOS,1C Company,2005,Firaxis Games
wikidata_16,Star Wars: Battlefront: Renegade Squadron,PlayStation Portable,LucasArts,2007,Rebellion Developments
wikidata_17,Star Wars: Battlefront - Renegade Squadron,PlayStation Portable,LucasArts,2007,Rebellion Developments
wikidata_18,Civilization V,macOS,2K Games,2010,Firaxis Games
wikidata_19,Civilization V,Linux,2K Games,2010,Firaxis Games
wikidata_20,Civilization V,Microsoft Windows,2K Games,2010,Firaxis Games
wikidata_21,Call of Duty,Microsoft Windows,Activision Publishing,2003,Nokia
wikidata_22,Call of Duty,macOS,Activision Publishing,2003,Nokia
wikidata_23,Call of Duty,N-Gage,Activision Publishing,2003,Nokia
wikidata_24,Advanced Dungeons & Dragons: Heroes of the Lance,MSX,Strategic Simulations,1988,U.S. Gold
wikidata_25,Advanced Dungeons & Dragons: Heroes of the Lance,NEC PC-8800 series,Strategic Simulations,1988,U.S. Gold
wikidata_26,Heroes of the Lance,ZX Spectrum,Strategic Simulations,1988,U.S. Gold
wikidata_27,Heroes of the Lance,Commodore 64,Strategic Simulations,1988,U.S. Gold
wikidata_28,Heroes of the Lance,Commodore Amiga,Strategic Simulations,1988,U.S. Gold
wikidata_29,Heroes of the Lance,DOS,Strategic Simulations,1988,U.S. Gold
wikidata_30,Heroes of the Lance,Nintendo Entertainment System,Strategic Simulations,1988,U.S. Gold
wikidata_31,Heroes of the Lance,NEC PC-9800 series,Strategic Simulations,1988,U.S. Gold
wikidata_32,Heroes of the Lance,Sega Master System,Strategic Simulations,1988,U.S. Gold
wikidata_33,Heroes of the Lance,Amstrad CPC,Strategic Simulations,1988,U.S. Gold
wikidata_34,Star Wars Episode I: Racer,Microsoft Windows,LucasArts,1999,LucasArts
wikidata_35,Star Wars Episode I: Racer,Dreamcast,LucasArts,1999,LucasArts
wikidata_36,Star Wars Episode I: Racer,Nintendo 64,LucasArts,1999,LucasArts
wikidata_37,Star Wars Episodio I: Racer,Microsoft Windows,LucasArts,1999,LucasArts
wikidata_38,Star Wars Episodio I: Racer,Dreamcast,LucasArts,1999,LucasArts
wikidata_39,Star Wars Episodio I: Racer,Nintendo 64,LucasArts,1999,LucasArts
wikidata_40,Aaargh!,DOS,Arcadia Systems,1987,
wikidata_41,Aaargh!,Amstrad CPC,Arcadia Systems,1987,
wikidata_42,Aaargh!,Atari ST,Arcadia Systems,1987,
wikidata_43,Aaargh!,MSX,Arcadia Systems,1987,
wikidata_44,Aaargh!,Apple IIGS,Arcadia Systems,1987,
wikidata_45,Aaargh!,ZX Spectrum,Arcadia Systems,1987,
wikidata_46,Aaargh!,Commodore 64,Arcadia Systems,1987,
wikidata_47,Aaargh!,Commodore Amiga,Arcadia Systems,1987,
wikidata_48,A View to a Kill (videogioco 1985 Domark),Amstrad CPC,Domark Software,1985,
wikidata_49,A View to a Kill (videogioco 1985 Domark),MSX,Domark Software,1985,
wikidata_50,A View to a Kill: The Computer Game,ZX Spectrum,Domark Software,1985,
wikidata_51,A View to a Kill: The Computer Game,Commodore 64,Domark Software,1985,
wikidata_52,A View to a Kill: The Computer Game,Amstrad CPC,Domark Software,1985,
wikidata_53,A View to a Kill: The Computer Game,MSX,Domark Software,1985,
wikidata_54,1943: The Battle of Midway,Nintendo Entertainment System,Capcom,1988,Capcom
wikidata_55,1943: The Battle of Midway,Amstrad CPC,Capcom,1988,Capcom
wikidata_56,1943: The Battle of Midway,Atari ST,Capcom,1988,Capcom
wikidata_57,1943: The Battle of Midway,TurboGrafx-16,Capcom,1988,Capcom
wikidata_58,1943: The Battle of Midway,PlayStation 3,Capcom,1988,Capcom
wikidata_59,1943: The Battle of Midway,ZX Spectrum,Capcom,1988,Capcom
wikidata_60,1943: The Battle of Midway,Commodore 64,Capcom,1988,Capcom
wikidata_61,1943: The Battle of Midway,Commodore Amiga,Capcom,1988,Capcom
wikidata_62,Zauberschloß,Atari 8-bit family,,1984,
wikidata_63,Family Guy: Back to the Multiverse,Microsoft Windows,Activision Publishing,2012,Heavy Iron Studios
wikidata_64,Family Guy: Back to the Multiverse,PlayStation 3,Activision Publishing,2012,Heavy Iron Studios
wikidata_65,Family Guy: Back to the Multiverse,Xbox 360,Activision Publishing,2012,Heavy Iron Studios
wikidata_66,Abyss,ZX Spectrum,Cases Computer Simulations,1984,Cases Computer Simulations
wikidata_67,Abyss,Commodore 64,Cases Computer Simulations,1984,Cases Computer Simulations
wikidata_68,Abyss,Commodore Amiga,Cases Computer Simulations,1984,Cases Computer Simulations
wikidata_69,Saboteur II: Avenging Angel,ZX Spectrum,Durell Software,1987,
wikidata_70,Saboteur II: Avenging Angel,Commodore 64,Durell Software,1987,
wikidata_71,Saboteur II: Avenging Angel,DOS,Durell Software,1987,
wikidata_72,Saboteur II: Avenging Angel,Amstrad CPC,Durell Software,1987,
wikidata_73,Saboteur II,ZX Spectrum,Durell Software,1987,
wikidata_74,Saboteur II,Commodore 64,Durell Software,1987,
wikidata_75,Saboteur II,DOS,Durell Software,1987,
wikidata_76,Saboteur II,Amstrad CPC,Durell Software,1987,
wikidata_77,Bonanza Bros.,Sega Master System,Sega,1991,Sega
wikidata_78,Bonanza Bros.,Amstrad CPC,Sega,1991,Sega
wikidata_79,Bonanza Bros.,TurboGrafx-16,Sega,1991,Sega
wikidata_80,Bonanza Bros.,Microsoft Windows,Sega,1991,Sega
wikidata_81,Bonanza Bros.,Nintendo Wii,Sega,1991,Sega
wikidata_82,Bonanza Bros.,Sega Mega Drive,Sega,1991,Sega
wikidata_83,Bonanza Bros.,ZX Spectrum,Sega,1991,Sega
wikidata_84,Bonanza Bros.,Commodore 64,Sega,1991,Sega
wikidata_85,Bonanza Bros.,Commodore Amiga,Sega,1991,Sega
wikidata_86,സിവിലൈസേഷൻ bf,Linux,2K Games,2010,Firaxis Games
wikidata_87,സിവിലൈസേഷൻ bf,Microsoft Windows,2K Games,2010,Firaxis Games
wikidata_88,സിവിലൈസേഷൻ bf,macOS,2K Games,2010,Firaxis Games
wikidata_89,19 Part One: Boot Camp,ZX Spectrum,,1988,
wikidata_90,19 Part One: Boot Camp,Commodore 64,,1988,
wikidata_91,Boulder Dash,Android,First Star Software,1984,First Star Software
wikidata_92,Boulder Dash,ZX Spectrum,First Star Software,1984,First Star Software
