id,title,platform,publisher,publishingdate,developer
vg_sales_1,Wii Sports,Wii,Nintendo,2006,
vg_sales_2,Super Mario Bros.,NES,Nintendo,1985,
vg_sales_3,Mario Kart Wii,Wii,Nintendo,2008,
vg_sales_4,Wii Sports Resort,Wii,Nintendo,2009,
vg_sales_5,Pokemon Red/Pokemon Blue,GB,Nintendo,1996,
vg_sales_6,Tetris,GB,Nintendo,1989,
vg_sales_7,New Super Mario Bros.,DS,Nintendo,2006,
vg_sales_8,Wii Play,Wii,Nintendo,2006,
vg_sales_9,New Super Mario Bros. Wii,Wii,Nintendo,2009,
vg_sales_10,Duck Hunt,NES,Nintendo,1984,
vg_sales_11,Nintendogs,DS,Nintendo,2005,
vg_sales_12,Mario Kart DS,DS,Nintendo,2005,
vg_sales_13,Pokemon Gold/Pokemon Silver,GB,Nintendo,1999,
vg_sales_14,Wii Fit,Wii,Nintendo,2007,
vg_sales_15,Wii Fit Plus,Wii,Nintendo,2009,
vg_sales_16,Kinect Adventures!,X360,Microsoft Game Studios,2010,
vg_sales_17,Grand Theft Auto V,PS3,Take-Two Interactive,2013,
vg_sales_18,Grand Theft Auto: San Andreas,PS2,Take-Two Interactive,2004,
vg_sales_19,Super Mario World,SNES,Nintendo,1990,
vg_sales_20,Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo,2005,
vg_sales_21,Pokemon Diamond/Pokemon Pearl,DS,Nintendo,2006,
vg_sales_22,Super Mario Land,GB,Nintendo,1989,
vg_sales_23,Super Mario Bros. 3,NES,Nintendo,1988,
vg_sales_24,Grand Theft Auto V,X360,Take-Two Interactive,2013,
vg_sales_25,Grand Theft Auto: Vice City,PS2,Take-Two Interactive,2002,
vg_sales_26,Pokemon Ruby/Pokemon Sapphire,GBA,Nintendo,2002,
vg_sales_27,Pokemon Black/Pokemon White,DS,Nintendo,2010,
vg_sales_28,Brain Age 2: More Training in Minutes a Day,DS,Nintendo,2005,
vg_sales_29,Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment,2001,
vg_sales_30,Call of Duty: Modern Warfare 3,X360,Activision,2011,
vg_sales_31,Pokémon Yellow: Special Pikachu Edition,GB,Nintendo,1998,
vg_sales_32,Call of Duty: Black Ops,X360,Activision,2010,
vg_sales_33,Pokemon X/Pokemon Y,3DS,Nintendo,2013,
vg_sales_34,Call of Duty: Black Ops 3,PS4,Activision,2015,
vg_sales_35,Call of Duty: Black Ops II,PS3,Activision,2012,
vg_sales_36,Call of Duty: Black Ops II,X360,Activision,2012,
vg_sales_37,Call of Duty: Modern Warfare 2,X360,Activision,2009,
vg_sales_38,Call of Duty: Modern Warfare 3,PS3,Activision,2011,
vg_sales_39,Grand Theft Auto III,PS2,Take-Two Interactive,2001,
vg_sales_40,Super Smash Bros. Brawl,Wii,Nintendo,2008,
vg_sales_41,Call of Duty: Black Ops,PS3,Activision,2010,
vg_sales_42,Animal Crossing: Wild World,DS,Nintendo,2005,
vg_sales_43,Mario Kart 7,3DS,Nintendo,2011,
vg_sales_44,Halo 3,X360,Microsoft Game Studios,2007,
vg_sales_45,Grand Theft Auto V,PS4,Take-Two Interactive,2014,
vg_sales_46,Pokemon HeartGold/Pokemon SoulSilver,DS,Nintendo,2009,
vg_sales_47,Super Mario 64,N64,Nintendo,1996,
vg_sales_48,Gran Turismo 4,PS2,Sony Computer Entertainment,2004,
