id,title,platform,publisher,publishingdate,developer
steam_games_1,Counter-Strike,windows,Valve,2000,Valve
steam_games_2,Counter-Strike,mac,Valve,2000,Valve
steam_games_3,Counter-Strike,linux,Valve,2000,Valve
steam_games_4,Team Fortress Classic,windows,Valve,1999,Valve
steam_games_5,Team Fortress Classic,mac,Valve,1999,Valve
steam_games_6,Team Fortress Classic,linux,Valve,1999,Valve
steam_games_7,Day of Defeat,windows,Valve,2003,Valve
steam_games_8,Day of Defeat,mac,Valve,2003,Valve
steam_games_9,Day of Defeat,linux,Valve,2003,Valve
steam_games_10,Deathmatch Classic,windows,Valve,2001,Valve
steam_games_11,Deathmatch Classic,mac,Valve,2001,Valve
steam_games_12,Deathmatch Classic,linux,Valve,2001,Valve
steam_games_13,Half-Life: Opposing Force,windows,Valve,1999,Gearbox Software
steam_games_14,Half-Life: Opposing Force,mac,Valve,1999,Gearbox Software
steam_games_15,Half-Life: Opposing Force,linux,Valve,1999,Gearbox Software
steam_games_16,Ricochet,windows,Valve,2000,Valve
steam_games_17,Ricochet,mac,Valve,2000,Valve
steam_games_18,Ricochet,linux,Valve,2000,Valve
steam_games_19,Half-Life,windows,Valve,1998,Valve
steam_games_20,Half-Life,mac,Valve,1998,Valve
steam_games_21,Half-Life,linux,Valve,1998,Valve
steam_games_22,Counter-Strike: Condition Zero,windows,Valve,2004,Valve
steam_games_23,Counter-Strike: Condition Zero,mac,Valve,2004,Valve
steam_games_24,Counter-Strike: Condition Zero,linux,Valve,2004,Valve
steam_games_25,Half-Life: Blue Shift,windows,Valve,2001,Gearbox Software
steam_games_26,Half-Life: Blue Shift,mac,Valve,2001,Gearbox Software
steam_games_27,Half-Life: Blue Shift,linux,Valve,2001,Gearbox Software
steam_games_28,Half-Life 2,windows,Valve,2004,Valve
steam_games_29,Half-Life 2,mac,Valve,2004,Valve
steam_games_30,Half-Life 2,linux,Valve,2004,Valve
steam_games_31,Counter-Strike: Source,windows,Valve,2004,Valve
steam_games_32,Counter-Strike: Source,mac,Valve,2004,Valve
steam_games_33,Counter-Strike: Source,linux,Valve,2004,Valve
steam_games_34,Half-Life: Source,windows,Valve,2004,Valve
steam_games_35,Half-Life: Source,mac,Valve,2004,Valve
steam_games_36,Half-Life: Source,linux,Valve,2004,Valve
steam_games_37,Day of Defeat: Source,windows,Valve,2010,Valve
steam_games_38,Day of Defeat: Source,mac,Valve,2010,Valve
steam_games_39,Day of Defeat: Source,linux,Valve,2010,Valve
steam_games_40,Half-Life 2: Deathmatch,windows,Valve,2004,Valve
steam_games_41,Half-Life 2: Deathmatch,mac,Valve,2004,Valve
steam_games_42,Half-Life 2: Deathmatch,linux,Valve,2004,Valve
steam_games_43,Half-Life 2: Lost Coast,windows,Valve,2005,Valve
steam_games_44,Half-Life 2: Lost Coast,mac,Valve,2005,Valve
steam_games_45,Half-Life 2: Lost Coast,linux,Valve,2005,Valve
steam_games_46,Half-Life Deathmatch: Source,windows,Valve,2006,Valve
steam_games_47,Half-Life Deathmatch: Source,mac,Valve,2006,Valve
steam_games_48,Half-Life Deathmatch: Source,linux,Valve,2006,Valve
steam_games_49,Half-Life 2: Episode One,windows,Valve,2006,Valve
steam_games_50,Half-Life 2: Episode One,mac,Valve,2006,Valve
steam_games_51,Half-Life 2: Episode One,linux,Valve,2006,Valve
steam_games_52,Portal,windows,Valve,2007,Valve
steam_games_53,Portal,mac,Valve,2007,Valve
steam_games_54,Portal,linux,Valve,2007,Valve
steam_games_55,Half-Life 2: Episode Two,windows,Valve,2007,Valve
steam_games_56,Half-Life 2: Episode Two,mac,Valve,2007,Valve
steam_games_57,Half-Life 2: Episode Two,linux,Valve,2007,Valve
steam_games_58,Team Fortress 2,windows,Valve,2007,Valve
steam_games_59,Team Fortress 2,mac,Valve,2007,Valve
steam_games_60,Team Fortress 2,linux,Valve,2007,Valve
steam_games_61,Left 4 Dead,windows,Valve,2008,Valve
steam_games_62,Left 4 Dead,mac,Valve,2008,Valve
steam_games_63,Left 4 Dead 2,windows,Valve,2009,Valve
steam_games_64,Left 4 Dead 2,mac,Valve,2009,Valve
steam_games_65,Left 4 Dead 2,linux,Valve,2009,Valve
steam_games_66,Dota 2,windows,Valve,2013,Valve
steam_games_67,Dota 2,mac,Valve,2013,Valve
steam_games_68,Dota 2,linux,Valve,2013,Valve
steam_games_69,Portal 2,windows,Valve,2011,Valve
steam_games_70,Portal 2,mac,Valve,2011,Valve
steam_games_71,Portal 2,linux,Valve,2011,Valve
steam_games_72,Alien Swarm,windows,Valve,2010,Valve
steam_games_73,Counter-Strike: Global Offensive,windows,Valve,2012,Valve;Hidden Path Entertainment
steam_games_74,Counter-Strike: Global Offensive,mac,Valve,2012,Valve;Hidden Path Entertainment
steam_games_75,Counter-Strike: Global Offensive,linux,Valve,2012,Valve;Hidden Path Entertainment
steam_games_76,Rag Doll Kung Fu,windows,Mark Healey,2005,Mark Healey
steam_games_77,Red Orchestra: Ostfront 41-45,windows,Tripwire Interactive,2006,Tripwire Interactive
steam_games_78,Red Orchestra: Ostfront 41-45,mac,Tripwire Interactive,2006,Tripwire Interactive
steam_games_79,Red Orchestra: Ostfront 41-45,linux,Tripwire Interactive,2006,Tripwire Interactive
steam_games_80,Killing Floor,windows,Tripwire Interactive,2009,Tripwire Interactive
steam_games_81,Killing Floor,mac,Tripwire Interactive,2009,Tripwire Interactive
steam_games_82,Killing Floor,linux,Tripwire Interactive,2009,Tripwire Interactive
steam_games_83,SiN Episodes: Emergence,windows,Ritual Entertainment,2006,Ritual Entertainment
steam_games_84,Darwinia,windows,Introversion Software,2005,Introversion Software
steam_games_85,Darwinia,mac,Introversion Software,2005,Introversion Software
steam_games_86,Darwinia,linux,Introversion Software,2005,Introversion Software
steam_games_87,Uplink,windows,Introversion Software,2006,Introversion Software
steam_games_88,Uplink,mac,Introversion Software,2006,Introversion Software
steam_games_89,Uplink,linux,Introversion Software,2006,Introversion Software
steam_games_90,DEFCON,windows,Introversion Software,2006,Introversion Software
steam_games_91,DEFCON,mac,Introversion Software,2006,Introversion Software
steam_games_92,DEFCON,linux,Introversion Software,2006,Introversion Software
steam_games_93,Multiwinia,windows,Introversion Software,2008,Introversion Software
steam_games_94,Multiwinia,mac,Introversion Software,2008,Introversion Software
steam_games_95,Dangerous Waters,windows,Strategy First,2006,Sonalysts
steam_games_96,Space Empires IV Deluxe,windows,Strategy First,2006,Malfador Machinations
steam_games_97,"Disciples II: Rise of the Elves ",windows,Strategy First,2006,Strategy First
steam_games_98,Disciples II: Gallean's Return,windows,Strategy First,2006,Strategy First
steam_games_99,"Iron Warriors: T - 72 Tank Command ",windows,Strategy First,2006,Strategy First
steam_games_100,Space Empires V,windows,Strategy First,2006,Malfador Machinations
steam_games_101,Arx Fatalis,windows,Arkane Studios,2007,Arkane Studios
steam_games_102,Source Filmmaker,windows,Valve,2012,Valve
steam_games_103,Earth 2160,windows,Topware Interactive;ACE,2006,Reality Pump Studios
steam_games_104,Earth 2160,mac,Topware Interactive;ACE,2006,Reality Pump Studios
steam_games_105,Earth 2160,linux,Topware Interactive;ACE,2006,Reality Pump Studios
steam_games_106,Two Worlds Epic Edition,windows,Topware Interactive,2009,Reality Pump Studios
steam_games_107,Two Worlds Epic Edition,mac,Topware Interactive,2009,Reality Pump Studios
steam_games_108,Two Worlds Epic Edition,linux,Topware Interactive,2009,Reality Pump Studios
steam_games_109,Dark Messiah of Might & Magic,windows,Ubisoft,2006,Arkane Studios
steam_games_110,Quake III Arena,windows,id Software,2007,id Software
steam_games_111,Quake IV,windows,Bethesda Softworks,2011,RavenSoft / id Software
steam_games_112,Wolfenstein 3D,windows,Bethesda-Softworks,2007,id Software
steam_games_113,Ultimate Doom,windows,id Software,2007,id Software
steam_games_114,Final DOOM,windows,id Software,2007,id Software
steam_games_115,DOOM II,windows,id Software,2007,id Software
steam_games_116,QUAKE,windows,id Software,2007,id Software
steam_games_117,QUAKE II,windows,id Software,2007,id Software
steam_games_118,QUAKE II Mission Pack: The Reckoning,windows,id Software,2007,Xatrix Entertainment
steam_games_119,QUAKE II Mission Pack: Ground Zero,windows,id Software,2007,Rogue Entertainment
steam_games_120,QUAKE III: Team Arena,windows,id Software,2007,id Software
steam_games_121,HeXen: Beyond Heretic,windows,id Software,2007,Raven Software
steam_games_122,HeXen: Deathkings of the Dark Citadel,windows,id Software,2007,Raven Software
steam_games_123,Heretic: Shadow of the Serpent Riders,windows,id Software,2007,Raven Software
steam_games_124,The Ship: Murder Party,windows,Blazing Griffin Ltd.,2006,Outerlight Ltd.
steam_games_125,Bloody Good Time,windows,Ubisoft,2010,Outerlight Ltd.
steam_games_126,Shadowgrounds,windows,Frozenbyte,2006,Frozenbyte
steam_games_127,Shadowgrounds,mac,Frozenbyte,2006,Frozenbyte
steam_games_128,Gumboy - Crazy Adventures™,windows,"CINEMAX, s.r.o.",2006,"CINEMAX, s.r.o."
steam_games_129,Alpha Prime,windows,Bohemia Interactive,2007,Black Element
steam_games_130,Vampire: The Masquerade - Bloodlines,windows,Activision,2007,Troika Games
steam_games_131,GUN™,windows,Activision,2006,Neversoft
