"AttributeName","Consistency","ValueIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Title","0.5","Title-{wikidata_26100|wikidata_31530|wikidata_31554|wikidata_31536|vg_sales_6655|wikidata_31548}","{Madagascar: Escape 2 Africa (jogo eletrônico)|Madagascar: Escape 2 Africa|Madagascar: Escape 2 Africa (игра)|Madagascar: Escape 2 Africa (video game)|Madagascar: Escape 2 Africa|Madagascar. Escape 2 Africa}","Madagascar: Escape 2 Africa",,
"Title","0.5","Title-{vg_sales_7211|vg_sales_15399|wikidata_35433|vg_sales_16085}","{The Legend of Heroes: Trails of Cold Steel|The Legend of Heroes: Trails in the Sky Second Chapter|The Legend of Heroes: Trails of Cold Steel|The Legend of Heroes: Trails in the Sky Third Chapter}","The Legend of Heroes: Trails of Cold Steel",,
"Title","0.0","Title-{wikidata_2808|wikidata_13179|wikidata_25750|vg_sales_407}","{Star Wars Episodio III: La Venganza de los Sith (videojuego)|Star Wars: Episode III - Revenge of the Sith - Activity Center|Star Wars: Episode III – Revenge of the Sith (jogo eletrônico)|Star Wars Episode III: Revenge of the Sith}","Star Wars Episode III: Revenge of the Sith",,
"Title","1.0","Title-{wikidata_26242|steam_games_13860}","{Sonicomi|Sonicomi}","Sonicomi",,
"Title","1.0","Title-{wikidata_13274|steam_games_10819}","{Tekken 7|TEKKEN 7}","Tekken 7",,
"Title","1.0","Title-{wikidata_18660|vg_sales_14548}","{007: Quantum of Solace|007: Quantum of Solace}","007: Quantum of Solace",,
"Title","1.0","Title-{wikidata_20268|vg_sales_2089}","{Ace Combat X: Skies of Deception|Ace Combat X: Skies of Deception}","Ace Combat X: Skies of Deception",,
"Title","1.0","Title-{vg_sales_16259|wikidata_7809|wikidata_7808}","{Championship Manager 2010|Championship Manager 2010|Championship Manager 2010}","Championship Manager 2010",,
"Title","1.0","Title-{steam_games_810|wikidata_11230}","{F-16 Multirole Fighter|F-16 Multirole Fighter}","F-16 Multirole Fighter",,
"Title","1.0","Title-{vg_sales_6862|wikidata_25319}","{NBA Live 10|NBA Live 10}","NBA Live 10",,
"Title","1.0","Title-{wikidata_4510|vg_sales_8541|wikidata_4506}","{Puzzle Quest Galactrix|Puzzle Quest: Galactrix|Puzzle Quest: Galactrix}","Puzzle Quest Galactrix",,
"Title","1.0","Title-{vg_sales_4425|wikidata_31588}","{Transformers: Fall of Cybertron|Transformers: Fall of Cybertron}","Transformers: Fall of Cybertron",,
"Title","1.0","Title-{wikidata_35575|vg_sales_13079}","{Monster 4x4: Masters of Metal|Monster 4x4: Masters of Metal}","Monster 4x4: Masters of Metal",,
"Title","1.0","Title-{vg_sales_1396|wikidata_18845}","{Dynasty Warriors 5|Dynasty Warriors 5}","Dynasty Warriors 5",,
"Title","1.0","Title-{vg_sales_7598|wikidata_27906}","{MDK|MDK}","MDK",,
"Title","1.0","Title-{wikidata_33052|steam_games_25521}","{Gal*Gun VR|Gal*Gun VR}","Gal*Gun VR",,
"Title","1.0","Title-{wikidata_23226|vg_sales_2795}","{FIFA: Road to World Cup 98|FIFA: Road to World Cup 98}","FIFA: Road to World Cup 98",,
"Title","1.0","Title-{wikidata_33417|vg_sales_2375}","{Crimson Skies: High Road to Revenge|Crimson Skies: High Road to Revenge}","Crimson Skies: High Road to Revenge",,
"Title","1.0","Title-{vg_sales_4497|wikidata_26697}","{Primal|Primal}","Primal",,
"Title","1.0","Title-{wikidata_19457|vg_sales_5312}","{The Adventures of Jimmy Neutron Boy Genius: Jet Fusion|The Adventures of Jimmy Neutron Boy Genius: Jet Fusion}","The Adventures of Jimmy Neutron Boy Genius: Jet Fusion",,
"Title","1.0","Title-{wikidata_18080|vg_sales_1022}","{Madden NFL 99|Madden NFL 99}","Madden NFL 99",,
"Title","1.0","Title-{vg_sales_12420|wikidata_23942}","{Muppets Party Cruise|Muppets Party Cruise}","Muppets Party Cruise",,
"Title","1.0","Title-{wikidata_31040|vg_sales_6562|wikidata_31042}","{Army of Two: The Devil’s Cartel|Army of Two: The Devil's Cartel|Army of Two: The Devil's Cartel}","Army of Two: The Devil’s Cartel",,
"Title","1.0","Title-{wikidata_13671|vg_sales_5219}","{Call of Duty: Ghosts|Call of Duty: Ghosts}","Call of Duty: Ghosts",,
"Title","1.0","Title-{wikidata_16896|vg_sales_7130}","{NBA Street Showdown|NBA Street: Showdown}","NBA Street Showdown",,
"Title","1.0","Title-{wikidata_31382|vg_sales_1328}","{Namco Museum 64|Namco Museum 64}","Namco Museum 64",,
"Title","1.0","Title-{wikidata_12076|vg_sales_5767}","{J-League Winning Eleven 2007 Club Championship|J-League Winning Eleven 2007: Club Championship}","J-League Winning Eleven 2007 Club Championship",,
